,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,34,5,0,6,0,2,0,1,0,13,0
BCC,10,449,1,3,4,13,0,4,2,16,2
BEN_OTH,0,1,2,1,0,1,0,2,2,0,0
BKL,7,24,2,53,0,1,0,4,6,12,0
DF,0,1,0,0,9,0,0,0,0,0,0
INF,0,3,0,0,1,5,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,1,5,2,4,0,2,0,48,27,1,0
NV,1,5,0,3,0,1,0,9,129,0,1
SCCKA,7,15,0,4,0,1,0,0,0,68,0
VASC,0,1,0,0,0,0,0,1,1,0,6
