metadata_mode,f1_macro,balanced_accuracy,accuracy,roc_auc_macro_ovr,f1_weighted
none,0.6400293835642404,0.6260534639346079,0.7012987012987013,0.928844358099315,0.6979719729043364
concat,0.6631885868071691,0.6473940503519396,0.7333333333333333,0.9368063806735545,0.7306765529698588
