,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,43,3,0,6,0,0,0,0,0,9,0
BCC,42,409,1,12,3,0,2,3,1,28,3
BEN_OTH,1,2,2,1,0,1,0,1,1,0,0
BKL,12,18,0,59,0,0,0,2,3,15,0
DF,0,0,0,0,7,0,0,1,1,1,0
INF,1,5,0,1,0,2,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,3,4,0,4,0,2,0,51,25,1,0
NV,1,3,1,8,0,1,0,5,129,1,0
SCCKA,19,10,0,4,0,0,0,0,0,61,1
VASC,0,2,0,0,0,0,0,0,0,0,7
