,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,44,4,0,8,0,0,0,2,0,3,0
BCC,28,415,3,21,0,2,0,9,5,19,2
BEN_OTH,0,0,2,2,0,0,0,3,2,0,0
BKL,9,15,2,64,1,0,0,3,6,9,0
DF,0,1,0,2,6,0,0,1,0,0,0
INF,0,3,1,1,0,3,0,1,0,1,0
MAL_OTH,0,2,0,0,0,0,0,0,0,0,0
MEL,1,3,0,5,0,1,0,53,26,1,0
NV,0,4,1,5,0,0,0,10,128,0,1
SCCKA,17,6,0,15,0,1,0,2,0,54,0
VASC,0,1,0,1,0,0,0,1,0,0,6
