,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,34,8,0,7,0,0,0,2,0,10,0
BCC,11,444,2,15,1,6,0,3,3,17,2
BEN_OTH,0,1,2,1,0,2,0,1,2,0,0
BKL,7,22,1,58,0,1,0,1,3,16,0
DF,0,0,0,0,8,0,0,1,1,0,0
INF,0,2,2,0,0,5,0,1,0,0,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,2,6,1,4,0,2,0,49,23,0,3
NV,1,4,1,8,0,2,0,8,124,1,0
SCCKA,15,15,0,9,0,0,0,0,0,56,0
VASC,0,2,0,0,0,0,0,0,1,0,6
