,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,44,5,0,7,0,0,0,0,0,5,0
BCC,33,429,1,17,1,0,0,6,2,14,1
BEN_OTH,0,2,1,1,0,1,0,2,2,0,0
BKL,14,18,1,60,0,1,0,2,4,9,0
DF,0,1,0,0,8,0,0,1,0,0,0
INF,0,3,1,1,0,3,0,1,0,1,0
MAL_OTH,0,2,0,0,0,0,0,0,0,0,0
MEL,1,8,0,4,0,1,0,53,23,0,0
NV,0,4,1,4,1,1,0,9,129,0,0
SCCKA,20,9,0,12,1,0,0,2,1,50,0
VASC,0,1,0,0,0,0,0,1,1,0,6
