phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy
finetune,1,1.8873383922658804,0.46827290076335876,0.24166400261068685,0.21540028866292057,0.7798187022900763,1.558199756018078,0.541030534351145,0.36946959250411954,0.31205894701755454,0.8549618320610687
finetune,2,1.5400349179865749,0.5670324427480916,0.3366581629127385,0.30633809229471826,0.8745229007633588,1.4564933512957041,0.601145038167939,0.41855023159134036,0.3710033097896142,0.8969465648854962
finetune,3,1.450793472850937,0.5842080152671756,0.40290096757932226,0.3645632971812361,0.884780534351145,1.3825495309047116,0.5896946564885496,0.42691844599177475,0.37416254348010175,0.9083969465648855
finetune,4,1.3268289452859463,0.617604961832061,0.46729602740741605,0.4307928557887385,0.9026717557251909,1.3725752190096687,0.6354961832061069,0.45287850914343913,0.41482814512203225,0.9122137404580153
finetune,5,1.202272871651381,0.6354961832061069,0.5019318445303829,0.4625822064597177,0.9177003816793893,1.3916757073793702,0.6164122137404581,0.4736211308846281,0.412235507714921,0.9131679389312977
finetune,6,1.1607763403102414,0.6428912213740458,0.5143398495278427,0.463986951159519,0.9248568702290076,1.4000727935829236,0.6851145038167938,0.4582894205971385,0.437212693297951,0.9236641221374046
finetune,7,1.109097041545137,0.677719465648855,0.5617091691729629,0.5204537654281588,0.9327290076335878,1.3632561571270454,0.6688931297709924,0.4863304068393923,0.4369534523662139,0.9293893129770993
finetune,8,1.0861346672665868,0.6712786259541985,0.5642144993778369,0.5142938066233048,0.9339217557251909,1.3762861290050827,0.6383587786259542,0.4695975911423583,0.42383805842414174,0.9265267175572519
finetune,9,0.9954155330752371,0.6922709923664122,0.6084002079468035,0.5452174773062455,0.9408396946564885,1.3827568930751495,0.6259541984732825,0.48473336786352805,0.4154854529643005,0.9103053435114504
finetune,10,0.9297468661053376,0.694895038167939,0.6200804844780693,0.5594771972707799,0.9494274809160306,1.4037614913500902,0.6555343511450382,0.49647250079238714,0.45005668665532395,0.9303435114503816
finetune,11,0.8718821875082742,0.7115935114503816,0.6473695926108815,0.6067752767387247,0.9587309160305344,1.3933748935583894,0.6727099236641222,0.5109609484827864,0.46127158930002193,0.933206106870229
finetune,12,0.8500070186431399,0.7135019083969466,0.6603028126443586,0.6112344307029202,0.954675572519084,1.3750434821571103,0.6583969465648855,0.5058210286652053,0.44828389663015766,0.9303435114503816
finetune,13,0.8360813415275161,0.7297232824427481,0.6712248640233098,0.6241233272413894,0.9582538167938931,1.4318689102207431,0.6688931297709924,0.49808614449649724,0.4598974360931523,0.9303435114503816
finetune,14,0.8349437526647598,0.7330629770992366,0.6587812730336854,0.6101475564584404,0.9594465648854962,1.3879996348200863,0.6574427480916031,0.49233585915036604,0.4372241046177796,0.924618320610687
finetune,15,0.8141787895214752,0.7235209923664122,0.6823058667085283,0.6444776971429876,0.9599236641221374,1.4202391385804607,0.6583969465648855,0.4924904527196119,0.4394212060240491,0.9255725190839694
finetune,16,0.7889781973772604,0.7287690839694656,0.6599317907746672,0.6127337470388191,0.9654103053435115,1.4295094005820406,0.6335877862595419,0.5023866331206338,0.43382377344429374,0.9255725190839694
finetune,17,0.7922379045341988,0.7447519083969466,0.6792551411960609,0.6456744695715574,0.9587309160305344,1.3990904336212246,0.674618320610687,0.4961612801836317,0.4443860097117083,0.9351145038167938
