class,inventory,inventory_sources,selected,selected_sources,max_selected_per_source
AKIEC,0,0,0,0,0
BCC,0,0,0,0,0
BEN_OTH,0,0,0,0,0
BKL,0,0,0,0,0
DF,0,0,0,0,0
INF,0,0,0,0,0
MAL_OTH,0,0,0,0,0
MEL,0,0,0,0,0
NV,0,0,0,0,0
SCCKA,0,0,0,0,0
VASC,0,0,0,0,0
