,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,29,11,0,13,0,1,0,0,0,7,0
BCC,13,448,1,20,2,6,0,3,3,7,2
BEN_OTH,0,2,10,0,0,2,0,1,6,0,2
BKL,13,23,0,46,2,1,0,4,9,10,1
DF,0,2,0,1,19,2,0,2,3,1,0
INF,0,5,2,0,0,21,0,0,0,0,0
MAL_OTH,0,0,0,0,0,0,8,2,0,0,1
MEL,6,4,1,7,0,0,0,45,26,0,1
NV,1,10,0,7,3,0,0,11,116,0,1
SCCKA,12,14,1,14,0,0,0,0,0,54,0
VASC,0,1,0,0,0,0,0,0,2,0,51
