,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,36,6,0,12,0,0,0,1,0,6,0
BCC,15,450,1,10,1,0,0,4,6,17,0
BEN_OTH,1,0,1,2,0,1,0,2,2,0,0
BKL,5,18,0,65,0,0,0,5,6,10,0
DF,0,1,0,2,7,0,0,0,0,0,0
INF,0,3,0,2,1,3,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,0,7,0,5,0,0,0,48,28,2,0
NV,1,5,0,5,0,0,0,4,134,0,0
SCCKA,11,13,0,14,0,1,0,0,0,56,0
VASC,0,1,0,0,0,0,0,1,1,0,6
