,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,45,2,0,4,0,0,0,1,0,9,0
BCC,31,389,3,28,1,9,0,8,7,27,1
BEN_OTH,0,1,1,2,0,0,0,3,2,0,0
BKL,14,15,1,58,0,2,0,2,7,10,0
DF,0,0,0,3,6,0,0,0,1,0,0
INF,1,1,0,0,2,5,0,1,0,0,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,1,1,0,5,0,2,0,52,27,1,1
NV,1,3,2,4,0,3,0,8,127,0,1
SCCKA,16,9,0,7,0,1,0,0,0,62,0
VASC,0,1,0,0,0,0,0,0,1,0,7
