,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,27,4,0,20,0,1,0,1,0,8,0
BCC,14,379,2,42,4,8,0,5,23,22,5
BEN_OTH,0,0,5,1,0,0,0,0,3,0,0
BKL,5,25,0,49,0,0,0,3,18,9,0
DF,0,2,0,1,6,0,0,0,1,0,0
INF,1,4,1,0,3,1,0,0,0,0,0
MAL_OTH,0,1,0,1,0,0,0,0,0,0,0
MEL,2,5,2,9,0,1,0,32,37,0,2
NV,0,2,0,14,2,0,0,9,120,0,2
SCCKA,8,15,0,10,1,0,0,0,0,61,0
VASC,0,2,1,0,0,0,0,0,1,0,5
