,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,33,8,0,15,0,0,0,0,0,5,0
BCC,8,460,0,13,0,0,0,5,5,13,0
BEN_OTH,0,3,0,1,0,0,0,3,2,0,0
BKL,10,23,0,59,0,0,0,1,9,7,0
DF,0,2,0,1,6,0,0,0,0,1,0
INF,1,6,0,0,1,1,0,0,0,1,0
MAL_OTH,0,2,0,0,0,0,0,0,0,0,0
MEL,0,7,0,3,0,0,0,43,35,1,1
NV,0,3,0,8,0,0,0,2,134,1,1
SCCKA,10,13,0,15,0,0,0,3,0,54,0
VASC,0,2,0,0,0,0,0,0,0,0,7
