,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,16,23,0,9,0,0,0,0,0,13,0
BCC,4,410,2,21,2,5,0,4,3,52,1
BEN_OTH,1,3,1,0,0,0,0,2,2,0,0
BKL,4,40,0,42,0,1,0,6,4,11,1
DF,0,0,1,1,4,0,0,1,3,0,0
INF,1,4,1,0,0,3,0,0,0,1,0
MAL_OTH,0,1,1,0,0,0,0,0,0,0,0
MEL,1,11,0,11,1,0,0,35,29,1,1
NV,0,5,1,7,0,0,0,16,118,1,1
SCCKA,3,21,0,9,0,1,0,0,0,61,0
VASC,0,2,0,0,0,0,0,0,1,0,6
