phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy
freeze,1,0.9381578118462144,0.1722328244274809,0.2893589420286424,0.166980184702035,0.3229961832061068,0.2159337630026213,0.1240458015267175,0.3662414130305526,0.1860832142188917,0.2929389312977099
freeze,2,0.414603233031701,0.3015267175572519,0.4442071635045389,0.3103586483682513,0.538645038167939,0.2408486779864507,0.0839694656488549,0.3410955476034912,0.1482579815111725,0.2938931297709923
freeze,3,0.2869909573915123,0.3871660305343511,0.5408962648465989,0.3958666824226572,0.634780534351145,0.2615190416517604,0.2013358778625954,0.4026453572311186,0.2240909502550998,0.4074427480916031
finetune,4,0.2579917251594535,0.4339217557251908,0.5826110566071165,0.4423969653568128,0.6889312977099237,0.2763946667768573,0.2519083969465648,0.4525201250372685,0.2369172941270256,0.4971374045801526
finetune,5,0.2015014018415551,0.4887881679389313,0.6316090991931338,0.4980867703320606,0.737118320610687,0.3007875032836699,0.2385496183206107,0.4757499552916888,0.2393433290243575,0.4770992366412214
finetune,6,0.1398336924665842,0.5305343511450382,0.6800415799084584,0.5481259709832212,0.7669370229007634,0.2882840622870521,0.3272900763358778,0.5288302254938745,0.3016492394274801,0.6374045801526718
finetune,7,0.1233297375684874,0.5732347328244275,0.7025372338310824,0.5898896994660364,0.8136927480916031,0.3083678698522671,0.3244274809160305,0.5339154101961022,0.2947127403783189,0.5877862595419847
finetune,8,0.1023193471371871,0.5927958015267175,0.7255052940078653,0.6214144580213002,0.8392175572519084,0.3164492136023882,0.3559160305343511,0.5040041583009868,0.3094184164892828,0.6574427480916031
finetune,9,0.0878250288105221,0.6159351145038168,0.7446877787600065,0.648245394809583,0.8501908396946565,0.3195148913886483,0.3387404580152672,0.510171402097389,0.3181089805095748,0.6784351145038168
finetune,10,0.0925026064310294,0.6447996183206107,0.7601647977336291,0.6753675517556831,0.8649809160305344,0.3228985740241545,0.3559160305343511,0.4975198877188013,0.3312390592160412,0.7280534351145038
finetune,11,0.086968868466997,0.6486164122137404,0.7649407992626709,0.6851658842700973,0.8785782442748091,0.3302797319310653,0.3854961832061068,0.5210237174436249,0.3372590572984126,0.7366412213740458
finetune,12,0.0785681805911097,0.6452767175572519,0.7668995460405459,0.6878648354421956,0.8788167938931297,0.3080492236630152,0.4265267175572519,0.5378263632303913,0.3680594816110117,0.7604961832061069
finetune,13,0.0683535892007168,0.6860687022900763,0.7928807512738903,0.7215724685686097,0.8902671755725191,0.3493317435531102,0.4208015267175573,0.531565559540537,0.3547547177596543,0.7891221374045801
finetune,14,0.0713447433094785,0.6925095419847328,0.7953419226985297,0.7325551514824921,0.9052958015267176,0.3393817408372939,0.4799618320610687,0.548479459422309,0.3696832710493181,0.825381679389313
finetune,15,0.0671436228777836,0.6884541984732825,0.8007837767373197,0.7283022741907484,0.9026717557251908,0.357736226363207,0.4284351145038167,0.5223675309823693,0.3418754721580774,0.7843511450381679
finetune,16,0.0607421313046356,0.7094465648854962,0.8141371805631116,0.7507854711093774,0.909351145038168,0.379741869120368,0.4923664122137404,0.5194717689458588,0.3855205998793002,0.8263358778625954
finetune,17,0.052538922367589,0.7299618320610687,0.8285486155570815,0.7688981214864955,0.9310591603053436,0.3915484473677992,0.4408396946564885,0.5513302819248692,0.3814251614681328,0.8282442748091603
finetune,18,0.0560495162643545,0.7311545801526718,0.8293598941469064,0.7693561330033073,0.9327290076335878,0.3758168407637654,0.4217557251908397,0.5441017511280705,0.3648372671892186,0.8062977099236641
finetune,19,0.0505921045488869,0.7399809160305344,0.8376494463836547,0.7816955311690511,0.9382156488549618,0.4186322475136577,0.4809160305343511,0.5568755440018168,0.3855166026411922,0.8406488549618321
finetune,20,0.0499016246185211,0.7387881679389313,0.8348583285422895,0.7774622155244806,0.9370229007633588,0.4205394499643727,0.5028625954198473,0.5405461625963932,0.4001231962067502,0.8387404580152672
finetune,21,0.0407926529956508,0.7655057251908397,0.8556360362041723,0.8010336861006478,0.9451335877862596,0.3962762611882605,0.5095419847328244,0.5538771736333177,0.4067010541829692,0.8482824427480916
finetune,22,0.0406235046652527,0.7767175572519084,0.8593523598964657,0.8147655696315126,0.9499045801526718,0.4061389956978782,0.5104961832061069,0.5497544125264827,0.4055710107488466,0.851145038167939
finetune,23,0.0509154381486409,0.7607347328244275,0.849760078387521,0.8019959837717586,0.9477576335877864,0.4028331483963109,0.5066793893129771,0.5558953413284934,0.3975185946479526,0.8635496183206107
finetune,24,0.0391396566543848,0.7626431297709924,0.8589532860342413,0.8033773349234168,0.94537213740458,0.4043616231722857,0.5124045801526718,0.5547237656144406,0.4146000385137344,0.8654580152671756
finetune,25,0.0460119224104582,0.7867366412213741,0.863471977037158,0.8207685496530033,0.9527671755725192,0.4084977760256929,0.5057251908396947,0.5491993189309295,0.4053113800115843,0.857824427480916
finetune,26,0.0398548333045852,0.7776717557251909,0.8646565515949715,0.8184093970502626,0.9556297709923663,0.4093302208645881,0.5143129770992366,0.5342971414733108,0.4003406900500183,0.8673664122137404
finetune,27,0.0361906690305305,0.7876908396946565,0.8682954346676603,0.8254418786669919,0.9604007633587788,0.4265094046864857,0.523854961832061,0.5518272207228588,0.4036789813444721,0.8673664122137404
finetune,28,0.0361163637330684,0.7872137404580153,0.867029953746648,0.8242179354186026,0.9580152671755724,0.4290012273198093,0.5362595419847328,0.5444746442459691,0.416487833283686,0.8721374045801527
finetune,29,0.0336998061628884,0.7927003816793893,0.8777760311100834,0.8332399229510944,0.9551526717557252,0.4247442304995621,0.5343511450381679,0.5604189628858259,0.4104346591796688,0.8797709923664122
