,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,35,5,0,7,0,0,0,1,0,13,0
BCC,17,438,3,12,2,1,0,8,3,17,3
BEN_OTH,0,2,1,0,0,1,0,4,1,0,0
BKL,6,18,1,59,1,0,0,7,1,16,0
DF,0,0,0,1,8,0,0,0,1,0,0
INF,1,3,0,0,0,5,0,1,0,0,0
MAL_OTH,0,0,0,0,0,0,0,1,1,0,0
MEL,0,7,0,2,1,1,0,58,19,2,0
NV,0,3,0,5,1,0,0,12,128,0,0
SCCKA,9,9,0,10,0,0,0,1,0,66,0
VASC,0,2,0,0,0,0,0,1,1,0,5
