,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,33,7,0,11,0,0,0,0,2,8,0
BCC,18,442,1,20,5,5,0,4,6,4,0
BEN_OTH,0,3,11,1,0,1,0,2,4,0,1
BKL,18,24,0,38,0,1,0,5,15,8,0
DF,3,1,0,2,18,2,0,3,1,0,0
INF,0,5,0,0,0,22,0,0,0,0,1
MAL_OTH,0,0,0,1,0,0,8,1,0,0,1
MEL,6,8,2,6,0,0,0,37,28,0,3
NV,1,11,1,8,2,0,0,15,108,2,1
SCCKA,20,18,0,13,0,0,0,0,1,41,2
VASC,0,1,0,0,0,0,0,0,1,0,52
