,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,16,23,0,13,2,0,0,0,0,7,0
BCC,5,441,0,12,2,1,0,5,16,21,1
BEN_OTH,0,4,1,1,0,0,0,1,2,0,0
BKL,5,38,0,32,1,1,0,12,12,8,0
DF,0,3,0,0,1,0,0,1,4,0,1
INF,1,5,0,0,2,1,0,0,1,0,0
MAL_OTH,0,0,0,0,0,1,0,0,0,1,0
MEL,2,9,0,3,0,0,0,38,36,1,1
NV,0,7,0,8,1,0,0,16,117,0,0
SCCKA,3,30,0,8,0,0,0,0,1,53,0
VASC,0,1,0,0,0,0,0,1,1,0,6
