phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy
freeze,1,0.8385727975005639,0.21493320610687022,0.33124841935879845,0.23181927358949758,0.4107824427480916,0.20064949921069256,0.15362595419847327,0.42255620925418214,0.2531726526836047,0.3330152671755725
freeze,2,0.32826068377449313,0.39336832061068705,0.5298052289977233,0.4096703442478994,0.6405057251908397,0.20678328822246034,0.23377862595419846,0.5096435927815027,0.2961708715105886,0.40935114503816794
freeze,3,0.19204346140498252,0.49594465648854963,0.6368461828594207,0.5074049554272292,0.7168416030534351,0.24508815063945666,0.33396946564885494,0.5262064770558889,0.3410549511949808,0.5400763358778626
finetune,4,0.13335975763771882,0.5777671755725191,0.7093235046569428,0.5957642990318149,0.7950858778625954,0.24600289400866013,0.3435114503816794,0.5169571424746309,0.35248799140084813,0.6402671755725191
finetune,5,0.08853376779673294,0.6414599236641222,0.7628812548501098,0.6683852798530353,0.8549618320610687,0.2668988823549438,0.3969465648854962,0.5447606216653561,0.375014467778233,0.7480916030534351
finetune,6,0.06205182652236211,0.6753339694656488,0.7944185020853098,0.7091272791419846,0.8871660305343512,0.2894204838400465,0.4847328244274809,0.5471186421767427,0.41392901180706476,0.8234732824427481
finetune,7,0.05244013166298578,0.7416507633587787,0.8300553365608255,0.7662789918619335,0.9217557251908397,0.3076481247704675,0.42366412213740456,0.5389079732293128,0.3811741009860336,0.767175572519084
finetune,8,0.04470916681470641,0.7576335877862596,0.8485447051837124,0.7881771814162007,0.9353530534351145,0.34434763073053865,0.5085877862595419,0.5473599244226625,0.4391380274280646,0.8454198473282443
finetune,9,0.03564174305216608,0.785543893129771,0.8678492982714316,0.8147053745717812,0.9425095419847328,0.32180299867612827,0.5648854961832062,0.567934389369852,0.46317593162632886,0.8692748091603053
finetune,10,0.03016949369217081,0.8189408396946565,0.8881796032166246,0.8480422948438062,0.958969465648855,0.37027098562698174,0.6402671755725191,0.5616247688727056,0.48201113604952667,0.9074427480916031
finetune,11,0.024781917031627892,0.8365935114503816,0.9004285523227857,0.865103521143221,0.9732824427480916,0.34078220032397233,0.558206106870229,0.5430542586001648,0.4659097688731722,0.8874045801526718
finetune,12,0.026418289760910135,0.8461354961832062,0.9074296537002666,0.8718889885967365,0.9685114503816794,0.40125656109978625,0.6192748091603053,0.553723714970111,0.47401749128849513,0.8902671755725191
finetune,13,0.019585830440192895,0.8661736641221374,0.9199974797354976,0.8927531569000081,0.9775763358778626,0.3901604379239343,0.6345419847328244,0.5519810005927585,0.47982857560879777,0.9179389312977099
finetune,14,0.015923640313539673,0.8897900763358778,0.9339205108601352,0.9098252260399214,0.9835400763358778,0.39559492022634435,0.6736641221374046,0.568099226534843,0.4995889655618057,0.9341603053435115
finetune,15,0.014531599710024946,0.8812022900763359,0.9333869669619574,0.9070443964666765,0.9821087786259542,0.4016973251060988,0.6440839694656488,0.5672898482100263,0.4959036357398348,0.9198473282442748
finetune,16,0.012745120391780745,0.8955152671755725,0.9404334923342405,0.9151718931048787,0.9873568702290076,0.4234039397129988,0.666030534351145,0.5699270895196836,0.5002227815995484,0.9303435114503816
finetune,17,0.01278383401145463,0.9010019083969466,0.9425572653808983,0.9194739353633494,0.9895038167938931,0.41091811014490404,0.6593511450381679,0.5761665943693646,0.5104948888074096,0.9284351145038168
