,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,44,2,0,2,0,0,0,2,0,11,0
BCC,16,378,6,24,6,10,4,10,17,33,0
BEN_OTH,1,0,1,1,0,1,1,3,1,0,0
BKL,4,15,1,59,0,1,0,5,3,21,0
DF,0,1,0,0,9,0,0,0,0,0,0
INF,1,4,0,0,1,3,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,0,0,1,0
MEL,1,4,0,4,1,1,1,62,15,1,0
NV,0,2,0,5,0,0,0,20,122,0,0
SCCKA,15,9,0,5,2,0,0,0,0,64,0
VASC,0,1,0,0,0,0,1,0,0,0,7
