,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,41,4,1,1,0,0,0,1,0,12,1
BCC,25,422,3,14,3,5,0,4,0,25,3
BEN_OTH,0,1,3,1,0,1,0,2,1,0,0
BKL,14,22,1,51,1,1,0,5,2,12,0
DF,0,2,0,0,8,0,0,0,0,0,0
INF,3,4,0,0,0,3,0,0,0,0,0
MAL_OTH,0,1,0,0,0,0,0,1,0,0,0
MEL,2,7,0,3,0,2,0,57,16,0,3
NV,1,2,4,4,1,0,0,11,123,0,3
SCCKA,14,9,0,4,1,0,0,0,1,66,0
VASC,0,0,0,0,0,0,0,1,0,1,7
