,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,42,4,1,0,0,0,0,1,0,13,0
BCC,25,418,2,9,5,7,0,4,2,31,1
BEN_OTH,0,0,3,1,0,2,0,1,2,0,0
BKL,13,23,2,47,1,1,0,6,2,14,0
DF,0,0,0,1,9,0,0,0,0,0,0
INF,3,3,0,0,0,4,0,0,0,0,0
MAL_OTH,0,0,0,0,0,1,0,0,0,1,0
MEL,3,8,0,0,0,2,0,54,20,2,1
NV,2,3,3,2,1,3,0,10,124,0,1
SCCKA,14,11,0,5,2,0,0,1,0,62,0
VASC,0,0,0,0,0,1,0,0,0,1,7
