,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,46,2,0,6,0,0,0,1,0,6,0
BCC,23,419,2,25,0,3,0,6,3,21,2
BEN_OTH,0,1,2,2,0,0,0,2,2,0,0
BKL,9,16,0,63,0,1,0,2,6,12,0
DF,0,0,0,2,7,0,0,0,1,0,0
INF,1,3,0,0,3,3,0,0,0,0,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,0,4,0,5,0,1,0,54,24,1,1
NV,0,3,1,5,0,3,0,10,126,0,1
SCCKA,14,9,0,10,0,1,0,1,0,60,0
VASC,0,1,0,0,0,0,0,1,0,0,7
