,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,41,3,0,9,0,0,0,1,0,7,0
BCC,20,420,2,29,2,2,0,3,5,21,0
BEN_OTH,0,2,2,1,0,0,0,2,2,0,0
BKL,9,17,0,61,0,1,0,3,6,12,0
DF,0,0,0,1,8,0,0,0,1,0,0
INF,1,3,1,0,1,4,0,0,0,0,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,0,4,1,4,0,1,0,52,26,2,0
NV,0,3,0,3,1,2,0,15,125,0,0
SCCKA,19,7,0,10,0,0,0,1,0,58,0
VASC,0,2,0,0,0,0,0,1,1,0,5
