phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy
freeze,1,0.6469477091539111,0.18439885496183206,0.3402473444172017,0.21824603295465464,0.3862118320610687,0.17989973888824914,0.18606870229007633,0.41292134329055713,0.2624607666780004,0.3845419847328244
freeze,2,0.3436479210775374,0.32275763358778625,0.5143599858145985,0.3733055219364391,0.5512881679389313,0.1876140896316248,0.30343511450381677,0.5220678019972661,0.31543192702097983,0.49904580152671757
freeze,3,0.22262234512346846,0.40529580152671757,0.6165682112746816,0.44080332729222893,0.6555343511450382,0.22917587651323726,0.29866412213740456,0.4676678755965132,0.2993813316509432,0.6393129770992366
freeze,4,0.14984613033153743,0.4804389312977099,0.6830987690614088,0.501121256067483,0.7390267175572519,0.21881924714637166,0.37213740458015265,0.5536433260325299,0.3560244170311852,0.7595419847328244
freeze,5,0.133431964086454,0.49928435114503816,0.7010991667152155,0.5134987718105252,0.7726622137404581,0.25409968874865135,0.34541984732824427,0.5126976485024606,0.341207991650378,0.6727099236641222
freeze,6,0.11516717920357092,0.5472328244274809,0.7359785029444864,0.5658247749235172,0.8108301526717557,0.2608167605104906,0.3950381679389313,0.530887679236059,0.3564504033176766,0.7232824427480916
freeze,7,0.0999581053789051,0.5562977099236641,0.7514479871872637,0.580447740235746,0.8148854961832062,0.27146105431304635,0.3979007633587786,0.5453319340964939,0.3749417938989367,0.7633587786259542
freeze,8,0.08645957722133096,0.5672709923664122,0.7596508526841391,0.5944801829232214,0.8284828244274809,0.28083281846759656,0.47423664122137404,0.5624458486672703,0.4087591066476749,0.7757633587786259
freeze,9,0.08348320767048832,0.5844465648854962,0.7728579251724533,0.6218382978378066,0.8506679389312977,0.2749841763417571,0.4179389312977099,0.529373880560705,0.3849070755134332,0.8015267175572519
freeze,10,0.07356329574089725,0.6080629770992366,0.7856185350066153,0.6432233384397389,0.8699904580152672,0.27739474371445316,0.48377862595419846,0.601985362418662,0.41005202048705963,0.8463740458015268
finetune,11,0.06508297946407168,0.651956106870229,0.8103647459588029,0.6942439088894854,0.8957538167938931,0.2983460361973333,0.5467557251908397,0.5855878184941168,0.45128812802221424,0.8683206106870229
finetune,12,0.060836267658466656,0.683206106870229,0.8324688542842391,0.7172487215340572,0.9103053435114504,0.2994951852632843,0.5877862595419847,0.6108973087532181,0.46670671309447975,0.898854961832061
finetune,13,0.051896333762885334,0.7082538167938931,0.8450971977404226,0.7393732155357516,0.9250954198473282,0.3008058505641112,0.5791984732824428,0.602492100295681,0.4721315542489648,0.8759541984732825
finetune,14,0.03993826208303804,0.7442748091603053,0.8678394109887129,0.7825998269575859,0.9406011450381679,0.3023024451748276,0.5601145038167938,0.6113640635666214,0.47617241254173204,0.8816793893129771
finetune,15,0.036485120448046575,0.7631202290076335,0.8846721599564357,0.8002128832791224,0.9553912213740458,0.3459446577529444,0.6278625954198473,0.5776967206785295,0.47999364839050673,0.9093511450381679
finetune,16,0.03088569961410933,0.7979484732824428,0.8973321537899331,0.8255844462162657,0.9649332061068703,0.399405776247567,0.6354961832061069,0.5633034903790289,0.4872507643806035,0.9112595419847328
finetune,17,0.026468742519689507,0.8134541984732825,0.9103596345429363,0.8416984518323801,0.9718511450381679,0.37974594899218617,0.5734732824427481,0.5292652628597075,0.45267646530443134,0.9265267175572519
finetune,18,0.022103519258143238,0.84375,0.9256207195639793,0.86795986637458,0.9818702290076335,0.4190681576744372,0.6841603053435115,0.5713176468368206,0.5190320928957056,0.9312977099236641
finetune,19,0.02048746883090866,0.8501908396946565,0.929501042061172,0.8743051260108717,0.9809160305343512,0.39048172159605654,0.6727099236641222,0.5787593320624173,0.5226474615485265,0.9322519083969466
finetune,20,0.01770144380387012,0.8745229007633588,0.9402458645611032,0.8989962296817811,0.9916507633587787,0.4446126280644845,0.6860687022900763,0.5666607476897443,0.5042709122332631,0.9312977099236641
finetune,21,0.016628190561944235,0.8809637404580153,0.9445048825832046,0.8992941216464658,0.9873568702290076,0.4202076360878343,0.6335877862595419,0.5936341724712455,0.5070628412610466,0.9179389312977099
finetune,22,0.012678201058385729,0.8945610687022901,0.9533992561719703,0.9141387409325408,0.9933206106870229,0.4860029021796339,0.7156488549618321,0.5526746062761642,0.5069185364320988,0.9379770992366412
finetune,23,0.008659657360437332,0.9231870229007634,0.9660453798753246,0.9362623261519722,0.9947519083969466,0.4752905930237816,0.7041984732824428,0.5800146230604191,0.526012337709774,0.9351145038167938
finetune,24,0.007763075473836816,0.9260496183206107,0.9676814459338552,0.939622706869789,0.9952290076335878,0.48730729903869385,0.6870229007633588,0.5441364815078359,0.49535001913552407,0.933206106870229
