phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy
freeze,1,0.7235946452301991,0.1388358778625954,0.30332572080979975,0.15964732977417523,0.3198950381679389,0.19169665784894965,0.1450381679389313,0.3782197770303694,0.21271787895848202,0.34446564885496184
freeze,2,0.4184413548871761,0.24212786259541985,0.43418685044309,0.28743825874456985,0.48854961832061067,0.2045558709224672,0.2366412213740458,0.44986367303566654,0.25179587877792925,0.4303435114503817
freeze,3,0.2840410411492957,0.3172709923664122,0.5324220420377873,0.36253858817633566,0.5896946564885496,0.23794247148885528,0.24904580152671757,0.4523644519586389,0.2527275308032031,0.47900763358778625
freeze,4,0.2185167529805073,0.40314885496183206,0.6087091507843883,0.42489782031399853,0.6789122137404581,0.23359672737997453,0.25572519083969464,0.4843939103289499,0.26343882328312634,0.5725190839694656
freeze,5,0.19479323469656912,0.42008587786259544,0.6314411630408717,0.43853168729241554,0.7139790076335878,0.23754645724787968,0.2929389312977099,0.5142599786247739,0.29586682817112436,0.5505725190839694
freeze,6,0.17521898764832558,0.46326335877862596,0.6629723232309054,0.47728922649680267,0.7311545801526718,0.23466337705386503,0.3349236641221374,0.5209114865621325,0.3195688759741077,0.6612595419847328
freeze,7,0.14716354634555925,0.4794847328244275,0.6854236118048465,0.4942407752025776,0.7545324427480916,0.24954016358086853,0.3969465648854962,0.5473337444730707,0.32792714364346504,0.708969465648855
freeze,8,0.12700076797756701,0.49833015267175573,0.7015243726647852,0.514748293491428,0.7697996183206107,0.28116225454074734,0.3511450381679389,0.5362668038741916,0.3072375283138084,0.6908396946564885
freeze,9,0.11622900192675586,0.518368320610687,0.7234387955834883,0.5485654397067822,0.8079675572519084,0.26031266804073605,0.3482824427480916,0.510582519379034,0.30756219557403774,0.6822519083969466
freeze,10,0.11146806265966867,0.5539122137404581,0.7385153336204886,0.5814552598837704,0.8227576335877863,0.2637008506634081,0.40458015267175573,0.5275084467936776,0.32087661610603563,0.7385496183206107
finetune,11,0.10594095082825604,0.580868320610687,0.7556371310529596,0.6148248857752807,0.8602099236641222,0.28279189173956865,0.42366412213740456,0.5544934230820313,0.3453566453388036,0.7547709923664122
finetune,12,0.09592413585384213,0.5868320610687023,0.764678597493817,0.6192198780359706,0.8604484732824428,0.28553810397888185,0.5038167938931297,0.5885140424586616,0.3928638638795075,0.8024809160305344
finetune,13,0.08392141284581046,0.6097328244274809,0.7789578003275079,0.6460547898974158,0.8738072519083969,0.29918475969488384,0.49427480916030536,0.5869376469252454,0.3886827222085074,0.8005725190839694
finetune,14,0.06791318838932474,0.648854961832061,0.8098281868697813,0.6932639455918788,0.8950381679389313,0.3115827454687701,0.5095419847328244,0.5871748826893574,0.39502115183278036,0.8091603053435115
finetune,15,0.06701550997868322,0.648854961832061,0.8113231599774537,0.696572584263481,0.8983778625954199,0.2987150215678884,0.5181297709923665,0.5787786713635285,0.3927045086873157,0.8559160305343512
finetune,16,0.06265714123199928,0.6696087786259542,0.8201164270056555,0.7162394118357155,0.9179389312977099,0.33109876359919554,0.5372137404580153,0.5622625306586356,0.39850809870932075,0.8425572519083969
