,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,43,0,0,4,1,0,0,0,0,13,0
BCC,38,310,3,68,8,5,1,10,4,55,2
BEN_OTH,0,0,4,1,0,1,0,3,0,0,0
BKL,12,6,1,62,5,0,0,2,2,19,0
DF,0,0,0,0,9,0,0,0,1,0,0
INF,1,3,0,0,0,3,0,0,0,2,1
MAL_OTH,0,1,0,0,0,0,0,0,0,1,0
MEL,1,1,0,5,1,2,0,64,12,2,2
NV,0,0,3,5,1,2,0,16,121,0,1
SCCKA,16,4,0,6,1,1,0,0,1,66,0
VASC,0,0,0,0,0,0,0,1,1,1,6
