,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,36,6,0,8,0,0,0,1,0,10,0
BCC,22,434,0,11,0,1,0,2,2,32,0
BEN_OTH,1,2,1,1,0,0,0,3,1,0,0
BKL,14,29,1,42,0,0,0,9,6,8,0
DF,1,1,0,0,4,0,0,1,2,1,0
INF,1,7,0,0,0,2,0,0,0,0,0
MAL_OTH,0,1,0,0,0,0,0,0,0,1,0
MEL,0,12,1,9,0,0,0,42,25,1,0
NV,0,6,1,6,0,0,0,24,112,0,0
SCCKA,10,17,0,12,0,0,0,0,0,56,0
VASC,0,1,0,0,0,0,0,0,2,0,6
