,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,35,11,0,2,0,0,0,1,0,12,0
BCC,15,471,1,2,0,0,0,4,0,10,1
BEN_OTH,0,4,1,1,0,0,0,1,2,0,0
BKL,8,33,1,48,0,2,0,5,3,9,0
DF,0,2,0,0,8,0,0,0,0,0,0
INF,0,4,1,0,1,3,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,1,0,0,0
MEL,2,9,1,3,0,2,0,61,10,0,2
NV,1,5,0,2,1,0,0,15,124,0,1
SCCKA,15,20,0,6,1,0,0,0,0,53,0
VASC,0,1,0,0,0,0,0,1,0,0,7
