,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,35,6,0,5,0,1,0,1,0,13,0
BCC,10,442,1,16,3,3,0,5,1,20,3
BEN_OTH,0,2,1,1,0,1,0,2,2,0,0
BKL,9,24,2,55,0,2,0,4,2,11,0
DF,0,2,0,0,8,0,0,0,0,0,0
INF,0,4,1,0,1,3,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,1,0,0,0
MEL,1,8,1,3,0,2,0,60,13,1,1
NV,0,3,1,4,1,0,0,9,130,0,1
SCCKA,10,13,0,7,1,0,0,0,0,64,0
VASC,0,0,0,0,0,0,0,1,0,1,7
