phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,train_dice_macro,train_support_AKIEC,train_precision_AKIEC,train_recall_AKIEC,train_f1_AKIEC,train_correct_AKIEC,train_conf_AKIEC_to_BCC_count,train_conf_AKIEC_to_BCC_rate,train_conf_AKIEC_to_BKL_count,train_conf_AKIEC_to_BKL_rate,train_conf_AKIEC_to_MEL_count,train_conf_AKIEC_to_MEL_rate,train_conf_AKIEC_to_NV_count,train_conf_AKIEC_to_NV_rate,train_conf_AKIEC_to_SCCKA_count,train_conf_AKIEC_to_SCCKA_rate,train_support_BCC,train_precision_BCC,train_recall_BCC,train_f1_BCC,train_correct_BCC,train_conf_BCC_to_AKIEC_count,train_conf_BCC_to_AKIEC_rate,train_conf_BCC_to_BKL_count,train_conf_BCC_to_BKL_rate,train_conf_BCC_to_DF_count,train_conf_BCC_to_DF_rate,train_conf_BCC_to_INF_count,train_conf_BCC_to_INF_rate,train_conf_BCC_to_MAL_OTH_count,train_conf_BCC_to_MAL_OTH_rate,train_conf_BCC_to_MEL_count,train_conf_BCC_to_MEL_rate,train_conf_BCC_to_NV_count,train_conf_BCC_to_NV_rate,train_conf_BCC_to_SCCKA_count,train_conf_BCC_to_SCCKA_rate,train_conf_BCC_to_VASC_count,train_conf_BCC_to_VASC_rate,train_support_BEN_OTH,train_precision_BEN_OTH,train_recall_BEN_OTH,train_f1_BEN_OTH,train_correct_BEN_OTH,train_conf_BEN_OTH_to_BCC_count,train_conf_BEN_OTH_to_BCC_rate,train_conf_BEN_OTH_to_DF_count,train_conf_BEN_OTH_to_DF_rate,train_conf_BEN_OTH_to_MEL_count,train_conf_BEN_OTH_to_MEL_rate,train_conf_BEN_OTH_to_NV_count,train_conf_BEN_OTH_to_NV_rate,train_conf_BEN_OTH_to_SCCKA_count,train_conf_BEN_OTH_to_SCCKA_rate,train_support_BKL,train_precision_BKL,train_recall_BKL,train_f1_BKL,train_correct_BKL,train_conf_BKL_to_AKIEC_count,train_conf_BKL_to_AKIEC_rate,train_conf_BKL_to_BCC_count,train_conf_BKL_to_BCC_rate,train_conf_BKL_to_MEL_count,train_conf_BKL_to_MEL_rate,train_conf_BKL_to_NV_count,train_conf_BKL_to_NV_rate,train_conf_BKL_to_SCCKA_count,train_conf_BKL_to_SCCKA_rate,train_conf_BKL_to_VASC_count,train_conf_BKL_to_VASC_rate,train_support_DF,train_precision_DF,train_recall_DF,train_f1_DF,train_correct_DF,train_conf_DF_to_BCC_count,train_conf_DF_to_BCC_rate,train_conf_DF_to_BKL_count,train_conf_DF_to_BKL_rate,train_conf_DF_to_MEL_count,train_conf_DF_to_MEL_rate,train_conf_DF_to_NV_count,train_conf_DF_to_NV_rate,train_conf_DF_to_SCCKA_count,train_conf_DF_to_SCCKA_rate,train_support_INF,train_precision_INF,train_recall_INF,train_f1_INF,train_correct_INF,train_conf_INF_to_BCC_count,train_conf_INF_to_BCC_rate,train_conf_INF_to_BKL_count,train_conf_INF_to_BKL_rate,train_conf_INF_to_MEL_count,train_conf_INF_to_MEL_rate,train_conf_INF_to_NV_count,train_conf_INF_to_NV_rate,train_conf_INF_to_SCCKA_count,train_conf_INF_to_SCCKA_rate,train_support_MAL_OTH,train_precision_MAL_OTH,train_recall_MAL_OTH,train_f1_MAL_OTH,train_correct_MAL_OTH,train_conf_MAL_OTH_to_BCC_count,train_conf_MAL_OTH_to_BCC_rate,train_conf_MAL_OTH_to_BKL_count,train_conf_MAL_OTH_to_BKL_rate,train_conf_MAL_OTH_to_NV_count,train_conf_MAL_OTH_to_NV_rate,train_support_MEL,train_precision_MEL,train_recall_MEL,train_f1_MEL,train_correct_MEL,train_conf_MEL_to_AKIEC_count,train_conf_MEL_to_AKIEC_rate,train_conf_MEL_to_BCC_count,train_conf_MEL_to_BCC_rate,train_conf_MEL_to_BKL_count,train_conf_MEL_to_BKL_rate,train_conf_MEL_to_MAL_OTH_count,train_conf_MEL_to_MAL_OTH_rate,train_conf_MEL_to_NV_count,train_conf_MEL_to_NV_rate,train_conf_MEL_to_SCCKA_count,train_conf_MEL_to_SCCKA_rate,train_conf_MEL_to_VASC_count,train_conf_MEL_to_VASC_rate,train_support_NV,train_precision_NV,train_recall_NV,train_f1_NV,train_correct_NV,train_conf_NV_to_AKIEC_count,train_conf_NV_to_AKIEC_rate,train_conf_NV_to_BCC_count,train_conf_NV_to_BCC_rate,train_conf_NV_to_BKL_count,train_conf_NV_to_BKL_rate,train_conf_NV_to_MEL_count,train_conf_NV_to_MEL_rate,train_conf_NV_to_SCCKA_count,train_conf_NV_to_SCCKA_rate,train_conf_NV_to_VASC_count,train_conf_NV_to_VASC_rate,train_support_SCCKA,train_precision_SCCKA,train_recall_SCCKA,train_f1_SCCKA,train_correct_SCCKA,train_conf_SCCKA_to_AKIEC_count,train_conf_SCCKA_to_AKIEC_rate,train_conf_SCCKA_to_BCC_count,train_conf_SCCKA_to_BCC_rate,train_conf_SCCKA_to_BKL_count,train_conf_SCCKA_to_BKL_rate,train_conf_SCCKA_to_MEL_count,train_conf_SCCKA_to_MEL_rate,train_conf_SCCKA_to_NV_count,train_conf_SCCKA_to_NV_rate,train_support_VASC,train_precision_VASC,train_recall_VASC,train_f1_VASC,train_correct_VASC,train_conf_VASC_to_BCC_count,train_conf_VASC_to_BCC_rate,train_conf_VASC_to_BKL_count,train_conf_VASC_to_BKL_rate,train_conf_VASC_to_MEL_count,train_conf_VASC_to_MEL_rate,train_conf_VASC_to_NV_count,train_conf_VASC_to_NV_rate,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy,val_dice_macro,val_support_AKIEC,val_precision_AKIEC,val_recall_AKIEC,val_f1_AKIEC,val_correct_AKIEC,val_conf_AKIEC_to_BCC_count,val_conf_AKIEC_to_BCC_rate,val_conf_AKIEC_to_BKL_count,val_conf_AKIEC_to_BKL_rate,val_conf_AKIEC_to_MEL_count,val_conf_AKIEC_to_MEL_rate,val_conf_AKIEC_to_SCCKA_count,val_conf_AKIEC_to_SCCKA_rate,val_support_BCC,val_precision_BCC,val_recall_BCC,val_f1_BCC,val_correct_BCC,val_conf_BCC_to_MEL_count,val_conf_BCC_to_MEL_rate,val_conf_BCC_to_SCCKA_count,val_conf_BCC_to_SCCKA_rate,val_support_BEN_OTH,val_precision_BEN_OTH,val_recall_BEN_OTH,val_f1_BEN_OTH,val_correct_BEN_OTH,val_conf_BEN_OTH_to_BCC_count,val_conf_BEN_OTH_to_BCC_rate,val_conf_BEN_OTH_to_BKL_count,val_conf_BEN_OTH_to_BKL_rate,val_conf_BEN_OTH_to_MEL_count,val_conf_BEN_OTH_to_MEL_rate,val_support_BKL,val_precision_BKL,val_recall_BKL,val_f1_BKL,val_correct_BKL,val_conf_BKL_to_AKIEC_count,val_conf_BKL_to_AKIEC_rate,val_conf_BKL_to_BCC_count,val_conf_BKL_to_BCC_rate,val_conf_BKL_to_MEL_count,val_conf_BKL_to_MEL_rate,val_conf_BKL_to_NV_count,val_conf_BKL_to_NV_rate,val_conf_BKL_to_SCCKA_count,val_conf_BKL_to_SCCKA_rate,val_support_DF,val_precision_DF,val_recall_DF,val_f1_DF,val_correct_DF,val_conf_DF_to_BCC_count,val_conf_DF_to_BCC_rate,val_support_INF,val_precision_INF,val_recall_INF,val_f1_INF,val_correct_INF,val_conf_INF_to_BCC_count,val_conf_INF_to_BCC_rate,val_conf_INF_to_BKL_count,val_conf_INF_to_BKL_rate,val_conf_INF_to_DF_count,val_conf_INF_to_DF_rate,val_support_MAL_OTH,val_precision_MAL_OTH,val_recall_MAL_OTH,val_f1_MAL_OTH,val_correct_MAL_OTH,val_conf_MAL_OTH_to_BCC_count,val_conf_MAL_OTH_to_BCC_rate,val_support_MEL,val_precision_MEL,val_recall_MEL,val_f1_MEL,val_correct_MEL,val_conf_MEL_to_BCC_count,val_conf_MEL_to_BCC_rate,val_conf_MEL_to_NV_count,val_conf_MEL_to_NV_rate,val_support_NV,val_precision_NV,val_recall_NV,val_f1_NV,val_correct_NV,val_conf_NV_to_BCC_count,val_conf_NV_to_BCC_rate,val_conf_NV_to_BKL_count,val_conf_NV_to_BKL_rate,val_conf_NV_to_MEL_count,val_conf_NV_to_MEL_rate,val_conf_NV_to_SCCKA_count,val_conf_NV_to_SCCKA_rate,val_support_SCCKA,val_precision_SCCKA,val_recall_SCCKA,val_f1_SCCKA,val_correct_SCCKA,val_conf_SCCKA_to_AKIEC_count,val_conf_SCCKA_to_AKIEC_rate,val_conf_SCCKA_to_BCC_count,val_conf_SCCKA_to_BCC_rate,val_conf_SCCKA_to_MEL_count,val_conf_SCCKA_to_MEL_rate,val_support_VASC,val_precision_VASC,val_recall_VASC,val_f1_VASC,val_correct_VASC,val_conf_VASC_to_BCC_count,val_conf_VASC_to_BCC_rate,val_conf_VASC_to_NV_count,val_conf_VASC_to_NV_rate,train_conf_AKIEC_to_VASC_count,train_conf_AKIEC_to_VASC_rate,train_conf_BEN_OTH_to_BKL_count,train_conf_BEN_OTH_to_BKL_rate,train_conf_BEN_OTH_to_VASC_count,train_conf_BEN_OTH_to_VASC_rate,train_conf_INF_to_AKIEC_count,train_conf_INF_to_AKIEC_rate,train_conf_INF_to_DF_count,train_conf_INF_to_DF_rate,train_conf_MAL_OTH_to_AKIEC_count,train_conf_MAL_OTH_to_AKIEC_rate,train_conf_MAL_OTH_to_VASC_count,train_conf_MAL_OTH_to_VASC_rate,train_conf_MEL_to_DF_count,train_conf_MEL_to_DF_rate,train_conf_NV_to_DF_count,train_conf_NV_to_DF_rate,train_conf_SCCKA_to_DF_count,train_conf_SCCKA_to_DF_rate,val_conf_BCC_to_AKIEC_count,val_conf_BCC_to_AKIEC_rate,val_conf_BCC_to_DF_count,val_conf_BCC_to_DF_rate,val_conf_BCC_to_NV_count,val_conf_BCC_to_NV_rate,val_conf_BCC_to_VASC_count,val_conf_BCC_to_VASC_rate,val_conf_BEN_OTH_to_NV_count,val_conf_BEN_OTH_to_NV_rate,val_conf_INF_to_AKIEC_count,val_conf_INF_to_AKIEC_rate,val_conf_MEL_to_BKL_count,val_conf_MEL_to_BKL_rate,val_conf_MEL_to_SCCKA_count,val_conf_MEL_to_SCCKA_rate,val_conf_MEL_to_VASC_count,val_conf_MEL_to_VASC_rate,val_conf_NV_to_AKIEC_count,val_conf_NV_to_AKIEC_rate,val_conf_SCCKA_to_BKL_count,val_conf_SCCKA_to_BKL_rate,train_conf_BKL_to_DF_count,train_conf_BKL_to_DF_rate,val_conf_BCC_to_BKL_count,val_conf_BCC_to_BKL_rate,val_conf_BKL_to_DF_count,val_conf_BKL_to_DF_rate,val_conf_DF_to_BKL_count,val_conf_DF_to_BKL_rate,val_conf_DF_to_NV_count,val_conf_DF_to_NV_rate,val_conf_DF_to_SCCKA_count,val_conf_DF_to_SCCKA_rate,val_conf_INF_to_MEL_count,val_conf_INF_to_MEL_rate,val_conf_INF_to_NV_count,val_conf_INF_to_NV_rate,val_conf_MAL_OTH_to_MEL_count,val_conf_MAL_OTH_to_MEL_rate,val_conf_NV_to_VASC_count,val_conf_NV_to_VASC_rate,val_conf_SCCKA_to_NV_count,val_conf_SCCKA_to_NV_rate,val_conf_SCCKA_to_VASC_count,val_conf_SCCKA_to_VASC_rate,train_conf_BEN_OTH_to_AKIEC_count,train_conf_BEN_OTH_to_AKIEC_rate,train_conf_MAL_OTH_to_MEL_count,train_conf_MAL_OTH_to_MEL_rate,val_conf_BEN_OTH_to_AKIEC_count,val_conf_BEN_OTH_to_AKIEC_rate,train_conf_AKIEC_to_DF_count,train_conf_AKIEC_to_DF_rate,train_conf_DF_to_AKIEC_count,train_conf_DF_to_AKIEC_rate,train_conf_DF_to_INF_count,train_conf_DF_to_INF_rate,train_conf_INF_to_BEN_OTH_count,train_conf_INF_to_BEN_OTH_rate,train_conf_MEL_to_BEN_OTH_count,train_conf_MEL_to_BEN_OTH_rate,train_conf_SCCKA_to_BEN_OTH_count,train_conf_SCCKA_to_BEN_OTH_rate,train_conf_SCCKA_to_VASC_count,train_conf_SCCKA_to_VASC_rate,train_conf_VASC_to_SCCKA_count,train_conf_VASC_to_SCCKA_rate,val_conf_VASC_to_MEL_count,val_conf_VASC_to_MEL_rate,train_conf_AKIEC_to_INF_count,train_conf_AKIEC_to_INF_rate,train_conf_BCC_to_BEN_OTH_count,train_conf_BCC_to_BEN_OTH_rate,train_conf_BEN_OTH_to_INF_count,train_conf_BEN_OTH_to_INF_rate,train_conf_SCCKA_to_INF_count,train_conf_SCCKA_to_INF_rate,train_conf_VASC_to_INF_count,train_conf_VASC_to_INF_rate,val_conf_DF_to_INF_count,val_conf_DF_to_INF_rate,train_conf_INF_to_VASC_count,train_conf_INF_to_VASC_rate,val_conf_NV_to_DF_count,val_conf_NV_to_DF_rate,train_conf_BKL_to_BEN_OTH_count,train_conf_BKL_to_BEN_OTH_rate,train_conf_NV_to_BEN_OTH_count,train_conf_NV_to_BEN_OTH_rate,train_conf_NV_to_INF_count,train_conf_NV_to_INF_rate,val_conf_INF_to_SCCKA_count,val_conf_INF_to_SCCKA_rate,val_conf_MEL_to_AKIEC_count,val_conf_MEL_to_AKIEC_rate,val_conf_NV_to_INF_count,val_conf_NV_to_INF_rate,train_conf_VASC_to_BEN_OTH_count,train_conf_VASC_to_BEN_OTH_rate,val_conf_AKIEC_to_NV_count,val_conf_AKIEC_to_NV_rate,val_conf_BCC_to_INF_count,val_conf_BCC_to_INF_rate,val_conf_DF_to_MEL_count,val_conf_DF_to_MEL_rate,val_conf_MAL_OTH_to_NV_count,val_conf_MAL_OTH_to_NV_rate
freeze,1,1.3172175182413508,0.6495706106870229,0.3100886124467878,0.33427418697905487,0.8871660305343512,0.33427418697905487,242.0,0.2976190476190476,0.10330578512396695,0.15337423312883436,25.0,123.0,0.5082644628099173,32.0,0.1322314049586777,8.0,0.03305785123966942,10.0,0.04132231404958678,44.0,0.18181818181818182,2018.0,0.724730323611666,0.8989098116947473,0.8024773280247732,1814.0,23.0,0.011397423191278493,42.0,0.02081268582755203,1.0,0.0004955401387512388,2.0,0.0009910802775024777,4.0,0.0019821605550049554,21.0,0.010406342913776016,46.0,0.022794846382556987,63.0,0.031219028741328047,2.0,0.0009910802775024777,35.0,0.0,0.0,0.0,0.0,15.0,0.42857142857142855,1.0,0.02857142857142857,3.0,0.08571428571428572,13.0,0.37142857142857144,3.0,0.08571428571428572,435.0,0.43333333333333335,0.2988505747126437,0.35374149659863946,130.0,18.0,0.041379310344827586,181.0,0.4160919540229885,22.0,0.05057471264367816,46.0,0.10574712643678161,37.0,0.08505747126436781,1.0,0.0022988505747126436,42.0,0.8181818181818182,0.21428571428571427,0.33962264150943394,9.0,20.0,0.47619047619047616,3.0,0.07142857142857142,4.0,0.09523809523809523,5.0,0.11904761904761904,1.0,0.023809523809523808,40.0,0.0,0.0,0.0,0.0,27.0,0.675,3.0,0.075,3.0,0.075,3.0,0.075,4.0,0.1,7.0,0.0,0.0,0.0,0.0,3.0,0.42857142857142855,2.0,0.2857142857142857,2.0,0.2857142857142857,360.0,0.5758513931888545,0.5166666666666667,0.5446559297218155,186.0,2.0,0.005555555555555556,44.0,0.12222222222222222,17.0,0.04722222222222222,1.0,0.002777777777777778,102.0,0.2833333333333333,7.0,0.019444444444444445,1.0,0.002777777777777778,597.0,0.6431852986217458,0.7035175879396985,0.672,420.0,1.0,0.0016750418760469012,67.0,0.11222780569514237,33.0,0.05527638190954774,67.0,0.11222780569514237,4.0,0.006700167504187605,5.0,0.008375209380234505,378.0,0.4359861591695502,0.3333333333333333,0.3778110944527736,126.0,15.0,0.03968253968253968,193.0,0.5105820105820106,37.0,0.09788359788359788,6.0,0.015873015873015872,1.0,0.0026455026455026454,38.0,0.5909090909090909,0.34210526315789475,0.43333333333333335,13.0,16.0,0.42105263157894735,1.0,0.02631578947368421,3.0,0.07894736842105263,5.0,0.13157894736842105,1.1685082987519622,0.7061068702290076,0.38407321459229704,0.42182052198568304,0.9236641221374046,0.42182052198568304,61.0,0.6,0.09836065573770492,0.16901408450704225,6.0,40.0,0.6557377049180327,1.0,0.01639344262295082,2.0,0.03278688524590164,12.0,0.19672131147540983,504.0,0.7039660056657224,0.9861111111111112,0.8214876033057851,497.0,1.0,0.001984126984126984,6.0,0.011904761904761904,9.0,0.0,0.0,0.0,0.0,6.0,0.6666666666666666,1.0,0.1111111111111111,2.0,0.2222222222222222,109.0,0.8125,0.23853211009174313,0.36879432624113473,26.0,1.0,0.009174311926605505,56.0,0.5137614678899083,5.0,0.045871559633027525,5.0,0.045871559633027525,16.0,0.14678899082568808,10.0,0.8571428571428571,0.6,0.7058823529411765,6.0,4.0,0.4,10.0,0.0,0.0,0.0,0.0,8.0,0.8,1.0,0.1,1.0,0.1,2.0,0.0,0.0,0.0,0.0,2.0,1.0,90.0,0.6444444444444445,0.6444444444444445,0.6444444444444445,58.0,17.0,0.18888888888888888,15.0,0.16666666666666666,149.0,0.8306451612903226,0.6912751677852349,0.7545787545787546,103.0,21.0,0.14093959731543623,3.0,0.020134228187919462,21.0,0.14093959731543623,1.0,0.006711409395973154,95.0,0.527027027027027,0.4105263157894737,0.46153846153846156,39.0,3.0,0.031578947368421054,52.0,0.5473684210526316,1.0,0.010526315789473684,9.0,1.0,0.5555555555555556,0.7142857142857143,5.0,3.0,0.3333333333333333,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze,2,1.1758756323625112,0.6979961832061069,0.3841459105999394,0.4045483141522029,0.9110209923664122,0.4045483141522029,242.0,0.36065573770491804,0.18181818181818182,0.24175824175824176,44.0,118.0,0.48760330578512395,27.0,0.1115702479338843,10.0,0.04132231404958678,5.0,0.02066115702479339,37.0,0.15289256198347106,2018.0,0.7572301425661915,0.921209117938553,0.8312094790968031,1859.0,26.0,0.01288404360753221,39.0,0.019326065411298315,3.0,0.0014866204162537165,1.0,0.0004955401387512388,,,14.0,0.006937561942517344,23.0,0.011397423191278493,50.0,0.024777006937561942,3.0,0.0014866204162537165,35.0,0.0,0.0,0.0,0.0,14.0,0.4,,,3.0,0.08571428571428572,9.0,0.2571428571428571,3.0,0.08571428571428572,435.0,0.5298013245033113,0.367816091954023,0.43419267299864317,160.0,18.0,0.041379310344827586,147.0,0.33793103448275863,27.0,0.06206896551724138,36.0,0.08275862068965517,46.0,0.10574712643678161,1.0,0.0022988505747126436,42.0,0.6296296296296297,0.40476190476190477,0.4927536231884058,17.0,16.0,0.38095238095238093,2.0,0.047619047619047616,,,5.0,0.11904761904761904,2.0,0.047619047619047616,40.0,0.0,0.0,0.0,0.0,25.0,0.625,4.0,0.1,,,6.0,0.15,2.0,0.05,7.0,0.0,0.0,0.0,0.0,3.0,0.42857142857142855,1.0,0.14285714285714285,1.0,0.14285714285714285,360.0,0.6687116564417178,0.6055555555555555,0.6355685131195336,218.0,7.0,0.019444444444444445,34.0,0.09444444444444444,19.0,0.05277777777777778,,,80.0,0.2222222222222222,1.0,0.002777777777777778,,,597.0,0.7192982456140351,0.7554438860971524,0.7369281045751634,451.0,2.0,0.0033500837520938024,69.0,0.11557788944723618,24.0,0.04020100502512563,44.0,0.07370184254606366,3.0,0.005025125628140704,2.0,0.0033500837520938024,378.0,0.5183946488294314,0.41005291005291006,0.45790251107828656,155.0,23.0,0.06084656084656084,160.0,0.42328042328042326,23.0,0.06084656084656084,6.0,0.015873015873015872,9.0,0.023809523809523808,38.0,0.6666666666666666,0.5789473684210527,0.6197183098591549,22.0,10.0,0.2631578947368421,,,4.0,0.10526315789473684,2.0,0.05263157894736842,1.136817094023901,0.7242366412213741,0.42379588430201365,0.43955355786818395,0.9188931297709924,0.43955355786818395,61.0,0.6,0.19672131147540983,0.2962962962962963,12.0,30.0,0.4918032786885246,1.0,0.01639344262295082,2.0,0.03278688524590164,16.0,0.26229508196721313,504.0,0.7484375,0.9503968253968254,0.8374125874125874,479.0,2.0,0.003968253968253968,18.0,0.03571428571428571,9.0,0.0,0.0,0.0,0.0,4.0,0.4444444444444444,,,4.0,0.4444444444444444,109.0,0.8461538461538461,0.30275229357798167,0.44594594594594594,33.0,2.0,0.01834862385321101,48.0,0.44036697247706424,4.0,0.03669724770642202,8.0,0.07339449541284404,14.0,0.12844036697247707,10.0,0.6666666666666666,0.6,0.631578947368421,6.0,4.0,0.4,10.0,0.0,0.0,0.0,0.0,7.0,0.7,,,2.0,0.2,2.0,0.0,0.0,0.0,0.0,2.0,1.0,90.0,0.6666666666666666,0.6222222222222222,0.6436781609195402,56.0,11.0,0.12222222222222222,19.0,0.2111111111111111,149.0,0.7916666666666666,0.7651006711409396,0.7781569965870307,114.0,16.0,0.10738255033557047,2.0,0.013422818791946308,15.0,0.10067114093959731,1.0,0.006711409395973154,95.0,0.5145631067961165,0.5578947368421052,0.5353535353535354,53.0,2.0,0.021052631578947368,37.0,0.3894736842105263,1.0,0.010526315789473684,9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,2.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.004132231404958678,3.0,0.08571428571428572,3.0,0.08571428571428572,1.0,0.025,2.0,0.05,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.002777777777777778,2.0,0.0033500837520938024,2.0,0.005291005291005291,2.0,0.003968253968253968,1.0,0.001984126984126984,1.0,0.001984126984126984,1.0,0.001984126984126984,1.0,0.1111111111111111,1.0,0.1,1.0,0.011111111111111112,1.0,0.011111111111111112,2.0,0.022222222222222223,1.0,0.006711409395973154,2.0,0.021052631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze,3,1.145447264133974,0.708969465648855,0.40474004770562166,0.4233323016014329,0.919131679389313,0.4233323016014329,242.0,0.47580645161290325,0.24380165289256198,0.3224043715846995,59.0,93.0,0.384297520661157,34.0,0.14049586776859505,10.0,0.04132231404958678,7.0,0.028925619834710745,39.0,0.16115702479338842,2018.0,0.7768079800498753,0.9261645193260654,0.8449367088607594,1869.0,21.0,0.010406342913776016,33.0,0.01635282457879088,4.0,0.0019821605550049554,,,,,15.0,0.007433102081268583,22.0,0.010901883052527254,53.0,0.02626362735381566,1.0,0.0004955401387512388,35.0,0.0,0.0,0.0,0.0,11.0,0.3142857142857143,,,2.0,0.05714285714285714,11.0,0.3142857142857143,2.0,0.05714285714285714,435.0,0.5189873417721519,0.37701149425287356,0.4367509986684421,164.0,20.0,0.04597701149425287,152.0,0.34942528735632183,23.0,0.052873563218390804,32.0,0.0735632183908046,42.0,0.09655172413793103,,,42.0,0.5862068965517241,0.40476190476190477,0.4788732394366197,17.0,10.0,0.23809523809523808,2.0,0.047619047619047616,4.0,0.09523809523809523,4.0,0.09523809523809523,5.0,0.11904761904761904,40.0,0.0,0.0,0.0,0.0,26.0,0.65,3.0,0.075,2.0,0.05,5.0,0.125,2.0,0.05,7.0,0.0,0.0,0.0,0.0,5.0,0.7142857142857143,1.0,0.14285714285714285,,,360.0,0.6421725239616614,0.5583333333333333,0.5973254086181278,201.0,3.0,0.008333333333333333,37.0,0.10277777777777777,22.0,0.06111111111111111,,,89.0,0.24722222222222223,6.0,0.016666666666666666,2.0,0.005555555555555556,597.0,0.71850699844479,0.7738693467336684,0.7451612903225806,462.0,2.0,0.0033500837520938024,58.0,0.09715242881072027,21.0,0.035175879396984924,47.0,0.07872696817420435,4.0,0.006700167504187605,1.0,0.0016750418760469012,378.0,0.5306748466257669,0.4576719576719577,0.4914772727272727,173.0,18.0,0.047619047619047616,141.0,0.373015873015873,30.0,0.07936507936507936,7.0,0.018518518518518517,7.0,0.018518518518518517,38.0,0.7714285714285715,0.7105263157894737,0.7397260273972602,27.0,4.0,0.10526315789473684,1.0,0.02631578947368421,2.0,0.05263157894736842,4.0,0.10526315789473684,1.1034663622160905,0.7223282442748091,0.4486411804530808,0.42187983706649174,0.9236641221374046,0.42187983706649174,61.0,0.75,0.14754098360655737,0.2465753424657534,9.0,19.0,0.3114754098360656,4.0,0.06557377049180328,4.0,0.06557377049180328,25.0,0.4098360655737705,504.0,0.8021015761821366,0.9087301587301587,0.8520930232558139,458.0,6.0,0.011904761904761904,25.0,0.0496031746031746,9.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,1.0,0.1111111111111111,4.0,0.4444444444444444,109.0,0.7659574468085106,0.3302752293577982,0.46153846153846156,36.0,,,41.0,0.3761467889908257,3.0,0.027522935779816515,12.0,0.11009174311926606,16.0,0.14678899082568808,10.0,0.5454545454545454,0.6,0.5714285714285714,6.0,1.0,0.1,10.0,0.0,0.0,0.0,0.0,5.0,0.5,,,2.0,0.2,2.0,0.0,0.0,0.0,0.0,1.0,0.5,90.0,0.6410256410256411,0.5555555555555556,0.5952380952380952,50.0,9.0,0.1,28.0,0.3111111111111111,149.0,0.7182320441988951,0.87248322147651,0.7878787878787878,130.0,9.0,0.06040268456375839,3.0,0.020134228187919462,4.0,0.026845637583892617,2.0,0.013422818791946308,95.0,0.46153846153846156,0.631578947368421,0.5333333333333333,60.0,2.0,0.021052631578947368,24.0,0.25263157894736843,5.0,0.05263157894736842,9.0,0.4444444444444444,0.8888888888888888,0.5925925925925926,8.0,1.0,0.1111111111111111,,,,,5.0,0.14285714285714285,4.0,0.11428571428571428,,,2.0,0.05,1.0,0.14285714285714285,,,,,2.0,0.0033500837520938024,2.0,0.005291005291005291,1.0,0.001984126984126984,2.0,0.003968253968253968,6.0,0.011904761904761904,5.0,0.00992063492063492,1.0,0.1111111111111111,,,,,1.0,0.011111111111111112,2.0,0.022222222222222223,,,1.0,0.010526315789473684,2.0,0.004597701149425287,1.0,0.001984126984126984,1.0,0.009174311926605505,1.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,2.0,0.2,1.0,0.5,1.0,0.006711409395973154,1.0,0.010526315789473684,2.0,0.021052631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
