phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy
finetune,1,1.1578534869406059,0.18010496183206107,0.2938620720371245,0.16057825383844893,0.33110687022900764,0.24006466158018766,0.0715648854961832,0.25841620307516044,0.10570231346329734,0.19751908396946566
finetune,2,0.3400571497996117,0.30033396946564883,0.45738025292310325,0.2856269340094491,0.5031011450381679,0.2551368809383334,0.10687022900763359,0.3240694686127662,0.1285892738669339,0.3053435114503817
finetune,3,0.21952163816948655,0.38716603053435117,0.5489599480382684,0.3845533695619064,0.6328721374045801,0.297837280362617,0.1965648854961832,0.38191419242862534,0.19806890701106789,0.40935114503816794
finetune,4,0.16842114507355763,0.46779580152671757,0.6220567695521472,0.4719069275958417,0.7027671755725191,0.30720384083403884,0.25,0.4479163363685403,0.24746233300790568,0.45229007633587787
finetune,5,0.15000126310375356,0.5021469465648855,0.6519239758077234,0.5110056654673204,0.7354484732824428,0.3181060137980767,0.23568702290076335,0.4141148767784657,0.23435953038421997,0.47041984732824427
finetune,6,0.12595308162556348,0.5317270992366412,0.6832804209524782,0.5491247938667349,0.762881679389313,0.3184030322457543,0.2595419847328244,0.4448549251848832,0.2512846745634826,0.5343511450381679
finetune,7,0.12417167071821808,0.555104961832061,0.6918857357118705,0.5721893230563311,0.7955629770992366,0.3273675354723712,0.2643129770992366,0.44926685185235227,0.24147786770622542,0.5648854961832062
finetune,8,0.10444390814118656,0.5832538167938931,0.7206652911334983,0.6094999509056919,0.8210877862595419,0.3529553783645157,0.27958015267175573,0.4680126808890565,0.26539088382620585,0.5524809160305344
finetune,9,0.09784175386876294,0.5999522900763359,0.7345329363286502,0.6285317103814372,0.8342080152671756,0.35359074274888475,0.28912213740458015,0.45874113904488495,0.2711242274627368,0.6164122137404581
finetune,10,0.08819360483370238,0.6202290076335878,0.7440542547386212,0.6464960899886022,0.8492366412213741,0.3705451843108385,0.30248091603053434,0.4565798632770404,0.2719983523425713,0.6459923664122137
finetune,11,0.08889449824834995,0.6350190839694656,0.7578273615957827,0.6649309337229327,0.8611641221374046,0.37292040817667055,0.30725190839694655,0.44897807479083,0.274951784250892,0.6364503816793893
finetune,12,0.08682939308546199,0.6354961832061069,0.7614017055307375,0.6717773712786123,0.8666507633587787,0.40875780784333027,0.3053435114503817,0.4169939017652883,0.26035889784157346,0.6316793893129771
finetune,13,0.06968819062076224,0.6531488549618321,0.7726879294384978,0.6840992630887653,0.8797709923664122,0.39390985245411175,0.31583969465648853,0.44558241408839994,0.28080863858854843,0.7070610687022901
finetune,14,0.0699457005475015,0.6717557251908397,0.7823102799766191,0.703478123873693,0.8916984732824428,0.3919521075538324,0.3511450381679389,0.4476601447160172,0.2904889227953866,0.7624045801526718
