,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,45,0,0,7,0,0,0,0,0,9,0
BCC,67,228,7,109,10,6,4,12,18,37,6
BEN_OTH,0,1,3,2,0,1,0,0,2,0,0
BKL,19,5,0,60,2,0,3,7,7,6,0
DF,0,0,0,0,7,0,1,1,1,0,0
INF,2,2,2,0,0,3,0,0,1,0,0
MAL_OTH,0,1,1,0,0,0,0,0,0,0,0
MEL,1,1,0,11,2,0,0,42,29,2,2
NV,2,0,3,10,1,1,0,21,110,0,1
SCCKA,21,5,0,9,1,0,1,0,0,57,1
VASC,0,1,0,0,1,0,0,0,1,0,6
