phase,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_top3_accuracy,train_dice_macro,train_support_AKIEC,train_precision_AKIEC,train_recall_AKIEC,train_f1_AKIEC,train_correct_AKIEC,train_conf_AKIEC_to_BCC_count,train_conf_AKIEC_to_BCC_rate,train_conf_AKIEC_to_BKL_count,train_conf_AKIEC_to_BKL_rate,train_conf_AKIEC_to_MAL_OTH_count,train_conf_AKIEC_to_MAL_OTH_rate,train_conf_AKIEC_to_MEL_count,train_conf_AKIEC_to_MEL_rate,train_conf_AKIEC_to_NV_count,train_conf_AKIEC_to_NV_rate,train_conf_AKIEC_to_SCCKA_count,train_conf_AKIEC_to_SCCKA_rate,train_support_BCC,train_precision_BCC,train_recall_BCC,train_f1_BCC,train_correct_BCC,train_conf_BCC_to_AKIEC_count,train_conf_BCC_to_AKIEC_rate,train_conf_BCC_to_BKL_count,train_conf_BCC_to_BKL_rate,train_conf_BCC_to_DF_count,train_conf_BCC_to_DF_rate,train_conf_BCC_to_INF_count,train_conf_BCC_to_INF_rate,train_conf_BCC_to_MAL_OTH_count,train_conf_BCC_to_MAL_OTH_rate,train_conf_BCC_to_MEL_count,train_conf_BCC_to_MEL_rate,train_conf_BCC_to_NV_count,train_conf_BCC_to_NV_rate,train_conf_BCC_to_SCCKA_count,train_conf_BCC_to_SCCKA_rate,train_conf_BCC_to_VASC_count,train_conf_BCC_to_VASC_rate,train_support_BEN_OTH,train_precision_BEN_OTH,train_recall_BEN_OTH,train_f1_BEN_OTH,train_correct_BEN_OTH,train_conf_BEN_OTH_to_BCC_count,train_conf_BEN_OTH_to_BCC_rate,train_conf_BEN_OTH_to_BKL_count,train_conf_BEN_OTH_to_BKL_rate,train_conf_BEN_OTH_to_MEL_count,train_conf_BEN_OTH_to_MEL_rate,train_conf_BEN_OTH_to_NV_count,train_conf_BEN_OTH_to_NV_rate,train_conf_BEN_OTH_to_VASC_count,train_conf_BEN_OTH_to_VASC_rate,train_support_BKL,train_precision_BKL,train_recall_BKL,train_f1_BKL,train_correct_BKL,train_conf_BKL_to_AKIEC_count,train_conf_BKL_to_AKIEC_rate,train_conf_BKL_to_BCC_count,train_conf_BKL_to_BCC_rate,train_conf_BKL_to_BEN_OTH_count,train_conf_BKL_to_BEN_OTH_rate,train_conf_BKL_to_MAL_OTH_count,train_conf_BKL_to_MAL_OTH_rate,train_conf_BKL_to_MEL_count,train_conf_BKL_to_MEL_rate,train_conf_BKL_to_NV_count,train_conf_BKL_to_NV_rate,train_conf_BKL_to_SCCKA_count,train_conf_BKL_to_SCCKA_rate,train_support_DF,train_precision_DF,train_recall_DF,train_f1_DF,train_correct_DF,train_conf_DF_to_AKIEC_count,train_conf_DF_to_AKIEC_rate,train_conf_DF_to_BCC_count,train_conf_DF_to_BCC_rate,train_conf_DF_to_BKL_count,train_conf_DF_to_BKL_rate,train_conf_DF_to_MEL_count,train_conf_DF_to_MEL_rate,train_conf_DF_to_NV_count,train_conf_DF_to_NV_rate,train_conf_DF_to_SCCKA_count,train_conf_DF_to_SCCKA_rate,train_support_INF,train_precision_INF,train_recall_INF,train_f1_INF,train_correct_INF,train_conf_INF_to_AKIEC_count,train_conf_INF_to_AKIEC_rate,train_conf_INF_to_BCC_count,train_conf_INF_to_BCC_rate,train_conf_INF_to_BKL_count,train_conf_INF_to_BKL_rate,train_conf_INF_to_MEL_count,train_conf_INF_to_MEL_rate,train_conf_INF_to_NV_count,train_conf_INF_to_NV_rate,train_conf_INF_to_SCCKA_count,train_conf_INF_to_SCCKA_rate,train_support_MAL_OTH,train_precision_MAL_OTH,train_recall_MAL_OTH,train_f1_MAL_OTH,train_correct_MAL_OTH,train_conf_MAL_OTH_to_BCC_count,train_conf_MAL_OTH_to_BCC_rate,train_conf_MAL_OTH_to_BKL_count,train_conf_MAL_OTH_to_BKL_rate,train_conf_MAL_OTH_to_NV_count,train_conf_MAL_OTH_to_NV_rate,train_support_MEL,train_precision_MEL,train_recall_MEL,train_f1_MEL,train_correct_MEL,train_conf_MEL_to_AKIEC_count,train_conf_MEL_to_AKIEC_rate,train_conf_MEL_to_BCC_count,train_conf_MEL_to_BCC_rate,train_conf_MEL_to_BKL_count,train_conf_MEL_to_BKL_rate,train_conf_MEL_to_MAL_OTH_count,train_conf_MEL_to_MAL_OTH_rate,train_conf_MEL_to_NV_count,train_conf_MEL_to_NV_rate,train_conf_MEL_to_SCCKA_count,train_conf_MEL_to_SCCKA_rate,train_conf_MEL_to_VASC_count,train_conf_MEL_to_VASC_rate,train_support_NV,train_precision_NV,train_recall_NV,train_f1_NV,train_correct_NV,train_conf_NV_to_BCC_count,train_conf_NV_to_BCC_rate,train_conf_NV_to_BKL_count,train_conf_NV_to_BKL_rate,train_conf_NV_to_DF_count,train_conf_NV_to_DF_rate,train_conf_NV_to_MAL_OTH_count,train_conf_NV_to_MAL_OTH_rate,train_conf_NV_to_MEL_count,train_conf_NV_to_MEL_rate,train_conf_NV_to_SCCKA_count,train_conf_NV_to_SCCKA_rate,train_conf_NV_to_VASC_count,train_conf_NV_to_VASC_rate,train_support_SCCKA,train_precision_SCCKA,train_recall_SCCKA,train_f1_SCCKA,train_correct_SCCKA,train_conf_SCCKA_to_AKIEC_count,train_conf_SCCKA_to_AKIEC_rate,train_conf_SCCKA_to_BCC_count,train_conf_SCCKA_to_BCC_rate,train_conf_SCCKA_to_BKL_count,train_conf_SCCKA_to_BKL_rate,train_conf_SCCKA_to_DF_count,train_conf_SCCKA_to_DF_rate,train_conf_SCCKA_to_MEL_count,train_conf_SCCKA_to_MEL_rate,train_support_VASC,train_precision_VASC,train_recall_VASC,train_f1_VASC,train_correct_VASC,train_conf_VASC_to_BCC_count,train_conf_VASC_to_BCC_rate,train_conf_VASC_to_BKL_count,train_conf_VASC_to_BKL_rate,train_conf_VASC_to_DF_count,train_conf_VASC_to_DF_rate,train_conf_VASC_to_MEL_count,train_conf_VASC_to_MEL_rate,train_conf_VASC_to_NV_count,train_conf_VASC_to_NV_rate,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_top3_accuracy,val_dice_macro,val_support_AKIEC,val_precision_AKIEC,val_recall_AKIEC,val_f1_AKIEC,val_correct_AKIEC,val_conf_AKIEC_to_BCC_count,val_conf_AKIEC_to_BCC_rate,val_conf_AKIEC_to_BKL_count,val_conf_AKIEC_to_BKL_rate,val_conf_AKIEC_to_MEL_count,val_conf_AKIEC_to_MEL_rate,val_conf_AKIEC_to_SCCKA_count,val_conf_AKIEC_to_SCCKA_rate,val_support_BCC,val_precision_BCC,val_recall_BCC,val_f1_BCC,val_correct_BCC,val_conf_BCC_to_BKL_count,val_conf_BCC_to_BKL_rate,val_conf_BCC_to_MEL_count,val_conf_BCC_to_MEL_rate,val_conf_BCC_to_SCCKA_count,val_conf_BCC_to_SCCKA_rate,val_support_BEN_OTH,val_precision_BEN_OTH,val_recall_BEN_OTH,val_f1_BEN_OTH,val_correct_BEN_OTH,val_conf_BEN_OTH_to_BCC_count,val_conf_BEN_OTH_to_BCC_rate,val_conf_BEN_OTH_to_BKL_count,val_conf_BEN_OTH_to_BKL_rate,val_conf_BEN_OTH_to_MEL_count,val_conf_BEN_OTH_to_MEL_rate,val_support_BKL,val_precision_BKL,val_recall_BKL,val_f1_BKL,val_correct_BKL,val_conf_BKL_to_BCC_count,val_conf_BKL_to_BCC_rate,val_conf_BKL_to_MEL_count,val_conf_BKL_to_MEL_rate,val_conf_BKL_to_NV_count,val_conf_BKL_to_NV_rate,val_conf_BKL_to_SCCKA_count,val_conf_BKL_to_SCCKA_rate,val_support_DF,val_precision_DF,val_recall_DF,val_f1_DF,val_correct_DF,val_conf_DF_to_BCC_count,val_conf_DF_to_BCC_rate,val_support_INF,val_precision_INF,val_recall_INF,val_f1_INF,val_correct_INF,val_conf_INF_to_BCC_count,val_conf_INF_to_BCC_rate,val_conf_INF_to_BKL_count,val_conf_INF_to_BKL_rate,val_support_MAL_OTH,val_precision_MAL_OTH,val_recall_MAL_OTH,val_f1_MAL_OTH,val_correct_MAL_OTH,val_conf_MAL_OTH_to_BCC_count,val_conf_MAL_OTH_to_BCC_rate,val_support_MEL,val_precision_MEL,val_recall_MEL,val_f1_MEL,val_correct_MEL,val_conf_MEL_to_BCC_count,val_conf_MEL_to_BCC_rate,val_conf_MEL_to_NV_count,val_conf_MEL_to_NV_rate,val_support_NV,val_precision_NV,val_recall_NV,val_f1_NV,val_correct_NV,val_conf_NV_to_BCC_count,val_conf_NV_to_BCC_rate,val_conf_NV_to_BKL_count,val_conf_NV_to_BKL_rate,val_conf_NV_to_MEL_count,val_conf_NV_to_MEL_rate,val_conf_NV_to_SCCKA_count,val_conf_NV_to_SCCKA_rate,val_support_SCCKA,val_precision_SCCKA,val_recall_SCCKA,val_f1_SCCKA,val_correct_SCCKA,val_conf_SCCKA_to_BCC_count,val_conf_SCCKA_to_BCC_rate,val_conf_SCCKA_to_BKL_count,val_conf_SCCKA_to_BKL_rate,val_conf_SCCKA_to_MEL_count,val_conf_SCCKA_to_MEL_rate,val_support_VASC,val_precision_VASC,val_recall_VASC,val_f1_VASC,val_correct_VASC,val_conf_VASC_to_BCC_count,val_conf_VASC_to_BCC_rate,val_conf_VASC_to_NV_count,val_conf_VASC_to_NV_rate,train_conf_AKIEC_to_VASC_count,train_conf_AKIEC_to_VASC_rate,train_conf_BEN_OTH_to_DF_count,train_conf_BEN_OTH_to_DF_rate,train_conf_BEN_OTH_to_SCCKA_count,train_conf_BEN_OTH_to_SCCKA_rate,train_conf_BKL_to_VASC_count,train_conf_BKL_to_VASC_rate,train_conf_INF_to_DF_count,train_conf_INF_to_DF_rate,train_conf_MAL_OTH_to_AKIEC_count,train_conf_MAL_OTH_to_AKIEC_rate,train_conf_SCCKA_to_BEN_OTH_count,train_conf_SCCKA_to_BEN_OTH_rate,train_conf_SCCKA_to_NV_count,train_conf_SCCKA_to_NV_rate,val_conf_BCC_to_AKIEC_count,val_conf_BCC_to_AKIEC_rate,val_conf_BCC_to_NV_count,val_conf_BCC_to_NV_rate,val_conf_BCC_to_VASC_count,val_conf_BCC_to_VASC_rate,val_conf_BEN_OTH_to_NV_count,val_conf_BEN_OTH_to_NV_rate,val_conf_BKL_to_AKIEC_count,val_conf_BKL_to_AKIEC_rate,val_conf_INF_to_DF_count,val_conf_INF_to_DF_rate,val_conf_INF_to_SCCKA_count,val_conf_INF_to_SCCKA_rate,val_conf_MEL_to_SCCKA_count,val_conf_MEL_to_SCCKA_rate,val_conf_MEL_to_VASC_count,val_conf_MEL_to_VASC_rate,val_conf_SCCKA_to_AKIEC_count,val_conf_SCCKA_to_AKIEC_rate,train_conf_BEN_OTH_to_AKIEC_count,train_conf_BEN_OTH_to_AKIEC_rate,train_conf_BKL_to_DF_count,train_conf_BKL_to_DF_rate,train_conf_DF_to_INF_count,train_conf_DF_to_INF_rate,train_conf_MAL_OTH_to_VASC_count,train_conf_MAL_OTH_to_VASC_rate,train_conf_SCCKA_to_VASC_count,train_conf_SCCKA_to_VASC_rate,train_conf_VASC_to_SCCKA_count,train_conf_VASC_to_SCCKA_rate,val_conf_DF_to_BKL_count,val_conf_DF_to_BKL_rate,val_conf_DF_to_NV_count,val_conf_DF_to_NV_rate,val_conf_MAL_OTH_to_MEL_count,val_conf_MAL_OTH_to_MEL_rate,val_conf_MEL_to_BKL_count,val_conf_MEL_to_BKL_rate,val_conf_NV_to_AKIEC_count,val_conf_NV_to_AKIEC_rate,val_conf_NV_to_VASC_count,val_conf_NV_to_VASC_rate,val_conf_SCCKA_to_VASC_count,val_conf_SCCKA_to_VASC_rate,train_conf_MAL_OTH_to_MEL_count,train_conf_MAL_OTH_to_MEL_rate,train_conf_MEL_to_DF_count,train_conf_MEL_to_DF_rate,val_conf_MEL_to_AKIEC_count,val_conf_MEL_to_AKIEC_rate,train_conf_AKIEC_to_INF_count,train_conf_AKIEC_to_INF_rate,train_conf_NV_to_AKIEC_count,train_conf_NV_to_AKIEC_rate,val_conf_VASC_to_MEL_count,val_conf_VASC_to_MEL_rate
freeze,1,1.2892917371888197,0.6600667938931297,0.31330609560510037,0.33727341907344593,0.8924141221374046,0.33727341907344593,242.0,0.3875,0.128099173553719,0.19254658385093168,31.0,123.0,0.5082644628099173,33.0,0.13636363636363635,1.0,0.004132231404958678,10.0,0.04132231404958678,10.0,0.04132231404958678,34.0,0.14049586776859505,2018.0,0.7268722466960352,0.8994053518334986,0.8039867109634552,1815.0,15.0,0.007433102081268583,48.0,0.023785926660059464,1.0,0.0004955401387512388,3.0,0.0014866204162537165,2.0,0.0009910802775024777,24.0,0.011892963330029732,41.0,0.020317145688800792,67.0,0.033201189296333006,2.0,0.0009910802775024777,35.0,0.0,0.0,0.0,0.0,14.0,0.4,2.0,0.05714285714285714,4.0,0.11428571428571428,14.0,0.4,1.0,0.02857142857142857,435.0,0.4243421052631579,0.296551724137931,0.3491204330175913,129.0,15.0,0.034482758620689655,187.0,0.4298850574712644,1.0,0.0022988505747126436,1.0,0.0022988505747126436,27.0,0.06206896551724138,38.0,0.08735632183908046,37.0,0.08505747126436781,42.0,0.6923076923076923,0.21428571428571427,0.32727272727272727,9.0,1.0,0.023809523809523808,20.0,0.47619047619047616,2.0,0.047619047619047616,3.0,0.07142857142857142,6.0,0.14285714285714285,1.0,0.023809523809523808,40.0,0.0,0.0,0.0,0.0,1.0,0.025,27.0,0.675,4.0,0.1,2.0,0.05,4.0,0.1,2.0,0.05,7.0,0.0,0.0,0.0,0.0,3.0,0.42857142857142855,2.0,0.2857142857142857,2.0,0.2857142857142857,360.0,0.5957446808510638,0.5444444444444444,0.5689404934687954,196.0,3.0,0.008333333333333333,41.0,0.11388888888888889,23.0,0.06388888888888888,1.0,0.002777777777777778,90.0,0.25,5.0,0.013888888888888888,1.0,0.002777777777777778,597.0,0.6753846153846154,0.7353433835845896,0.7040898155573376,439.0,61.0,0.10217755443886097,29.0,0.048576214405360134,1.0,0.0016750418760469012,1.0,0.0016750418760469012,55.0,0.09212730318257957,6.0,0.010050251256281407,5.0,0.008375209380234505,378.0,0.47586206896551725,0.36507936507936506,0.41317365269461076,138.0,14.0,0.037037037037037035,189.0,0.5,31.0,0.082010582010582,1.0,0.0026455026455026454,5.0,0.013227513227513227,38.0,0.5263157894736842,0.2631578947368421,0.3508771929824561,10.0,17.0,0.4473684210526316,1.0,0.02631578947368421,1.0,0.02631578947368421,3.0,0.07894736842105263,6.0,0.15789473684210525,1.1184173701828672,0.7175572519083969,0.3981481101335788,0.4371447922240872,0.9217557251908397,0.4371447922240872,61.0,1.0,0.13114754098360656,0.2318840579710145,8.0,38.0,0.6229508196721312,1.0,0.01639344262295082,1.0,0.01639344262295082,13.0,0.21311475409836064,504.0,0.7256637168141593,0.9761904761904762,0.8324873096446701,492.0,1.0,0.001984126984126984,2.0,0.003968253968253968,9.0,0.017857142857142856,9.0,0.0,0.0,0.0,0.0,5.0,0.5555555555555556,1.0,0.1111111111111111,3.0,0.3333333333333333,109.0,0.7575757575757576,0.22935779816513763,0.352112676056338,25.0,55.0,0.5045871559633027,5.0,0.045871559633027525,5.0,0.045871559633027525,19.0,0.1743119266055046,10.0,1.0,0.6,0.75,6.0,4.0,0.4,10.0,0.0,0.0,0.0,0.0,9.0,0.9,1.0,0.1,2.0,0.0,0.0,0.0,0.0,2.0,1.0,90.0,0.6195652173913043,0.6333333333333333,0.6263736263736264,57.0,15.0,0.16666666666666666,18.0,0.2,149.0,0.8208955223880597,0.738255033557047,0.7773851590106007,110.0,11.0,0.0738255033557047,3.0,0.020134228187919462,23.0,0.15436241610738255,2.0,0.013422818791946308,95.0,0.532608695652174,0.5157894736842106,0.5240641711229946,49.0,44.0,0.4631578947368421,1.0,0.010526315789473684,1.0,0.010526315789473684,9.0,1.0,0.5555555555555556,0.7142857142857143,5.0,3.0,0.3333333333333333,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze,2,1.1407681010265387,0.708969465648855,0.39777268937408616,0.4189222373625005,0.9141221374045801,0.4189222373625005,242.0,0.4473684210526316,0.21074380165289255,0.28651685393258425,51.0,117.0,0.4834710743801653,22.0,0.09090909090909091,,,9.0,0.0371900826446281,3.0,0.012396694214876033,39.0,0.16115702479338842,2018.0,0.7631147540983606,0.9226957383548068,0.835352175863616,1862.0,19.0,0.009415262636273538,36.0,0.017839444995044598,2.0,0.0009910802775024777,1.0,0.0004955401387512388,,,15.0,0.007433102081268583,20.0,0.009910802775024777,60.0,0.02973240832507433,3.0,0.0014866204162537165,35.0,0.0,0.0,0.0,0.0,14.0,0.4,3.0,0.08571428571428572,3.0,0.08571428571428572,7.0,0.2,3.0,0.08571428571428572,435.0,0.5482758620689655,0.36551724137931035,0.4386206896551724,159.0,21.0,0.04827586206896552,150.0,0.3448275862068966,,,,,29.0,0.06666666666666667,28.0,0.06436781609195402,47.0,0.10804597701149425,42.0,0.6451612903225806,0.47619047619047616,0.547945205479452,20.0,,,11.0,0.2619047619047619,2.0,0.047619047619047616,,,5.0,0.11904761904761904,4.0,0.09523809523809523,40.0,0.0,0.0,0.0,0.0,,,27.0,0.675,3.0,0.075,,,4.0,0.1,3.0,0.075,7.0,0.0,0.0,0.0,0.0,4.0,0.5714285714285714,2.0,0.2857142857142857,,,360.0,0.6761006289308176,0.5972222222222222,0.6342182890855457,215.0,5.0,0.013888888888888888,36.0,0.1,16.0,0.044444444444444446,,,85.0,0.2361111111111111,2.0,0.005555555555555556,1.0,0.002777777777777778,597.0,0.74481658692185,0.7822445561139029,0.7630718954248366,467.0,57.0,0.09547738693467336,26.0,0.04355108877721943,3.0,0.005025125628140704,,,40.0,0.06700167504187604,3.0,0.005025125628140704,1.0,0.0016750418760469012,378.0,0.5221238938053098,0.46825396825396826,0.49372384937238495,177.0,17.0,0.04497354497354497,154.0,0.4074074074074074,21.0,0.05555555555555555,1.0,0.0026455026455026454,3.0,0.007936507936507936,38.0,0.6774193548387096,0.5526315789473685,0.6086956521739131,21.0,8.0,0.21052631578947367,,,1.0,0.02631578947368421,4.0,0.10526315789473684,4.0,0.10526315789473684,1.1037017216209237,0.7194656488549618,0.4263959838167382,0.43563664301050553,0.9312977099236641,0.43563664301050553,61.0,0.5333333333333333,0.13114754098360656,0.21052631578947367,8.0,25.0,0.4098360655737705,2.0,0.03278688524590164,2.0,0.03278688524590164,24.0,0.39344262295081966,504.0,0.774247491638796,0.9186507936507936,0.8402903811252269,463.0,,,5.0,0.00992063492063492,31.0,0.061507936507936505,9.0,0.0,0.0,0.0,0.0,5.0,0.5555555555555556,,,3.0,0.3333333333333333,109.0,0.9333333333333333,0.25688073394495414,0.4028776978417266,28.0,44.0,0.4036697247706422,8.0,0.07339449541284404,9.0,0.08256880733944955,19.0,0.1743119266055046,10.0,0.8571428571428571,0.6,0.7058823529411765,6.0,4.0,0.4,10.0,0.0,0.0,0.0,0.0,7.0,0.7,,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,90.0,0.6395348837209303,0.6111111111111112,0.625,55.0,8.0,0.08888888888888889,23.0,0.25555555555555554,149.0,0.779874213836478,0.8322147651006712,0.8051948051948052,124.0,11.0,0.0738255033557047,,,12.0,0.08053691275167785,2.0,0.013422818791946308,95.0,0.4444444444444444,0.6736842105263158,0.5355648535564853,64.0,27.0,0.28421052631578947,,,1.0,0.010526315789473684,9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,2.0,0.2222222222222222,1.0,0.1111111111111111,1.0,0.004132231404958678,1.0,0.02857142857142857,4.0,0.11428571428571428,1.0,0.0022988505747126436,3.0,0.075,1.0,0.14285714285714285,1.0,0.0026455026455026454,4.0,0.010582010582010581,3.0,0.005952380952380952,1.0,0.001984126984126984,1.0,0.001984126984126984,1.0,0.1111111111111111,1.0,0.009174311926605505,1.0,0.1,2.0,0.2,2.0,0.022222222222222223,2.0,0.022222222222222223,3.0,0.031578947368421054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freeze,3,1.0921810503110632,0.7208969465648855,0.4212482396312249,0.4371175217822448,0.9281965648854962,0.4371175217822448,242.0,0.4744525547445255,0.26859504132231404,0.34300791556728233,65.0,94.0,0.3884297520661157,31.0,0.128099173553719,,,8.0,0.03305785123966942,4.0,0.01652892561983471,40.0,0.1652892561983471,2018.0,0.7825904121110177,0.9222001982160555,0.8466787989080983,1861.0,25.0,0.012388503468780971,32.0,0.015857284440039643,3.0,0.0014866204162537165,,,,,16.0,0.007928642220019821,20.0,0.009910802775024777,60.0,0.02973240832507433,1.0,0.0004955401387512388,35.0,0.0,0.0,0.0,0.0,15.0,0.42857142857142855,2.0,0.05714285714285714,3.0,0.08571428571428572,11.0,0.3142857142857143,3.0,0.08571428571428572,435.0,0.5562700964630225,0.39770114942528734,0.46380697050938335,173.0,21.0,0.04827586206896552,148.0,0.34022988505747126,,,,,21.0,0.04827586206896552,27.0,0.06206896551724138,41.0,0.09425287356321839,42.0,0.5757575757575758,0.4523809523809524,0.5066666666666667,19.0,,,11.0,0.2619047619047619,5.0,0.11904761904761904,3.0,0.07142857142857142,1.0,0.023809523809523808,2.0,0.047619047619047616,40.0,0.0,0.0,0.0,0.0,2.0,0.05,28.0,0.7,2.0,0.05,1.0,0.025,3.0,0.075,2.0,0.05,7.0,0.0,0.0,0.0,0.0,3.0,0.42857142857142855,1.0,0.14285714285714285,1.0,0.14285714285714285,360.0,0.668769716088328,0.5888888888888889,0.6262924667651403,212.0,4.0,0.011111111111111112,32.0,0.08888888888888889,19.0,0.05277777777777778,,,87.0,0.24166666666666667,4.0,0.011111111111111112,2.0,0.005555555555555556,597.0,0.75,0.8040201005025126,0.7760711398544866,480.0,43.0,0.07202680067001675,19.0,0.031825795644891124,3.0,0.005025125628140704,,,47.0,0.07872696817420435,4.0,0.006700167504187605,1.0,0.0016750418760469012,378.0,0.5457227138643068,0.4894179894179894,0.5160390516039052,185.0,18.0,0.047619047619047616,138.0,0.36507936507936506,26.0,0.06878306878306878,2.0,0.005291005291005291,5.0,0.013227513227513227,38.0,0.75,0.7105263157894737,0.7297297297297297,27.0,5.0,0.13157894736842105,1.0,0.02631578947368421,,,1.0,0.02631578947368421,3.0,0.07894736842105263,1.038919399030336,0.7385496183206107,0.453234903144166,0.447703271690288,0.9360687022900763,0.447703271690288,61.0,0.6470588235294118,0.18032786885245902,0.28205128205128205,11.0,23.0,0.3770491803278688,4.0,0.06557377049180328,2.0,0.03278688524590164,21.0,0.3442622950819672,504.0,0.790268456375839,0.9345238095238095,0.8563636363636363,471.0,1.0,0.001984126984126984,5.0,0.00992063492063492,19.0,0.037698412698412696,9.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,,,5.0,0.5555555555555556,109.0,0.7755102040816326,0.3486238532110092,0.4810126582278481,38.0,43.0,0.3944954128440367,3.0,0.027522935779816515,9.0,0.08256880733944955,15.0,0.13761467889908258,10.0,0.8571428571428571,0.6,0.7058823529411765,6.0,2.0,0.2,10.0,0.0,0.0,0.0,0.0,8.0,0.8,1.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.5,90.0,0.6875,0.4888888888888889,0.5714285714285714,44.0,8.0,0.08888888888888889,33.0,0.36666666666666664,149.0,0.7431693989071039,0.912751677852349,0.8192771084337349,136.0,6.0,0.040268456375838924,2.0,0.013422818791946308,3.0,0.020134228187919462,,,95.0,0.5172413793103449,0.631578947368421,0.5687203791469194,60.0,30.0,0.3157894736842105,,,1.0,0.010526315789473684,9.0,0.5,0.8888888888888888,0.64,8.0,1.0,0.1111111111111111,,,,,,,,,,,2.0,0.05,1.0,0.14285714285714285,,,3.0,0.007936507936507936,1.0,0.001984126984126984,3.0,0.005952380952380952,4.0,0.007936507936507936,1.0,0.1111111111111111,1.0,0.009174311926605505,1.0,0.1,,,1.0,0.011111111111111112,2.0,0.022222222222222223,3.0,0.031578947368421054,1.0,0.02857142857142857,4.0,0.009195402298850575,1.0,0.023809523809523808,1.0,0.14285714285714285,1.0,0.0026455026455026454,1.0,0.02631578947368421,1.0,0.1,1.0,0.1,1.0,0.5,2.0,0.022222222222222223,1.0,0.006711409395973154,1.0,0.006711409395973154,1.0,0.010526315789473684,,,,,,,,,,,,
