,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,36,4,0,7,0,0,0,2,0,12,0
BCC,10,444,2,9,1,3,0,4,4,23,4
BEN_OTH,0,1,3,1,0,0,0,2,2,0,0
BKL,5,24,0,56,0,0,0,1,8,15,0
DF,0,0,0,1,8,0,0,0,1,0,0
INF,0,4,0,0,1,4,0,0,0,1,0
MAL_OTH,0,1,0,0,0,0,0,0,1,0,0
MEL,0,5,1,4,0,3,0,45,31,1,0
NV,1,4,1,3,0,2,0,8,129,0,1
SCCKA,11,11,0,3,0,0,0,0,0,70,0
VASC,0,1,0,0,0,0,0,0,0,0,8
