,AKIEC,BCC,BEN_OTH,BKL,DF,INF,MAL_OTH,MEL,NV,SCCKA,VASC
AKIEC,42,6,0,3,0,0,0,0,0,10,0
BCC,22,433,1,18,1,1,0,5,3,17,3
BEN_OTH,1,2,1,1,0,1,0,2,1,0,0
BKL,15,18,1,55,0,0,0,3,2,15,0
DF,0,0,0,0,8,0,0,0,2,0,0
INF,2,4,0,0,0,4,0,0,0,0,0
MAL_OTH,0,2,0,0,0,0,0,0,0,0,0
MEL,3,5,0,3,1,1,0,54,22,1,0
NV,1,3,1,6,0,1,0,12,125,0,0
SCCKA,16,11,0,6,0,0,0,0,0,62,0
VASC,0,1,0,0,0,0,0,1,0,0,7
